Season,Round,round_num,home_Gls,away_Gls,goals_diff,shots_diff,SoT_diff,tackles_diff,touches_diff,xG_diff,home_side_rank,home_side_rolling_points,home_side_rolling_points_home,away_side_rank,away_side_rolling_points,away_side_rolling_points_away,win_loss,League
2018-2019,Matchweek 6,6,2,0,1.2,2,3.2,5,221.6,0.8,1,3,3,13,1,1.5,1,Premier_league
2018-2019,Matchweek 7,7,1,0,0.4,3.2,1.8,-4.4,192.2,0.5,3,2.4,2,6,2,2,1,Premier_league
2018-2019,Matchweek 7,7,2,1,0.8,-1.4,-0.2,-6.2,-80,0.2,9,1,1.7,12,0.8,2,1,Premier_league
2018-2019,Matchweek 7,7,1,2,-0.8,0,-0.6,0.4,-127,-0.3,19,0.4,0.3,12,0.6,0.3,0,Premier_league
2018-2019,Matchweek 7,7,3,0,-0.4,-1.2,-1,6.6,-59.4,-0.2,11,1,1.3,14,1,0.3,1,Premier_league
2018-2019,Matchweek 7,7,0,2,-1.2,-5.6,-3,1,-194.4,-1,19,0.4,0.3,3,1.8,2.3,0,Premier_league
2018-2019,Matchweek 7,7,2,0,1.6,16.8,6.6,-7.8,423.2,1.6,1,2.6,3,14,1,0.3,1,Premier_league
2018-2019,Matchweek 7,7,0,2,-1.2,-5.4,-2.4,-1.6,-190.6,-0.5,18,0.6,0.3,6,2,1.3,0,Premier_league
2018-2019,Matchweek 7,7,2,0,-0.2,3.4,1.6,2.2,81.2,0,8,1.6,1.7,14,0.8,1,1,Premier_league
2018-2019,Matchweek 8,8,1,0,0.4,-0.2,0.4,-4.6,-59.8,0.3,12,0.4,1.3,15,1,1,1,Premier_league
2018-2019,Matchweek 8,8,0,1,-0.6,-3.8,-2.2,1.4,28.2,-0.4,14,0.8,0.3,6,2.2,1.3,0,Premier_league
2018-2019,Matchweek 8,8,1,5,-0.6,0.2,-1.4,0.6,-82.2,-0.2,15,1,1.3,3,3,2,0,Premier_league
2018-2019,Matchweek 8,8,1,2,0.6,-1.2,1.6,-0.4,70.4,0.2,9,2,2,11,1,0.7,0,Premier_league
2018-2019,Matchweek 8,8,3,2,0.6,10.2,3.8,-10.8,242.6,1.1,7,1.6,1.3,18,0.4,0.7,1,Premier_league
2018-2019,Matchweek 8,8,0,3,-0.8,-4.2,-1.2,6.2,-334.4,-0.3,15,0.8,0.7,3,1.8,1.7,0,Premier_league
2018-2019,Matchweek 8,8,1,0,0.8,-0.2,1.2,3.8,247.2,0.5,3,1.8,1.5,20,0.2,0.3,1,Premier_league
2018-2019,Matchweek 8,8,0,4,0,1.4,1.8,7,-23.8,0,9,1.4,2.3,7,1,1,0,Premier_league
2018-2019,Matchweek 9,9,3,0,0.8,-1.2,0.4,-5,51.6,-0.3,3,3,2.3,11,1.4,1.8,1,Premier_league
2018-2019,Matchweek 9,9,4,2,0,-2.2,0.2,-2.6,-226.8,-0.1,16,0,0.3,16,0.4,0.3,1,Premier_league
2018-2019,Matchweek 9,9,2,0,1,2,1.4,-0.2,-65,0.2,7,1.4,1.8,14,0.8,1.5,1,Premier_league
2018-2019,Matchweek 9,9,0,1,-0.8,0.4,-1.2,1.2,-89.8,-0.9,19,0.4,0.3,1,2.2,2.5,0,Premier_league
2018-2019,Matchweek 9,9,5,0,1,13.8,4.6,-1,386.6,1.8,1,2.6,3,13,1.4,1,1,Premier_league
2018-2019,Matchweek 9,9,0,1,-0.4,-1.4,0.4,6.2,13.6,-0.6,19,0.2,0.3,12,1,0.3,0,Premier_league
2018-2019,Matchweek 9,9,0,1,-0.6,-4.4,-2.2,3,-177,-0.6,16,1,0.5,3,1.8,2.4,0,Premier_league
2018-2019,Matchweek 9,9,0,2,0.4,3.4,1.4,0,102,-0.1,7,2.6,2,6,0.8,1.3,0,Premier_league
2018-2019,Matchweek 10,10,1,0,0,-8,-2.2,-3.4,-167.4,-0.6,11,1.4,1.8,9,2,1.8,1,Premier_league
2018-2019,Matchweek 10,10,0,4,-0.6,-10.6,-3.2,3.4,-338,-1.4,13,1.4,1,3,1.8,2,0,Premier_league
2018-2019,Matchweek 10,10,0,3,-0.8,2,-1,6.4,32.8,-0.8,17,0.2,1,7,1.6,1.5,0,Premier_league
2018-2019,Matchweek 10,10,4,1,0,0.4,0.6,2.8,295,0.3,1,2.2,2.5,17,0.6,0.3,1,Premier_league
2018-2019,Matchweek 10,10,2,1,0.2,-5,0.4,-6.2,90.6,-0.3,7,1.8,1.8,9,1.8,1.3,1,Premier_league
2018-2019,Matchweek 10,10,0,1,-1.6,-8.4,-3.4,-0.2,-154.4,-1.4,5,2.4,2,1,2.6,2,0,Premier_league
2018-2019,Matchweek 10,10,3,0,0.4,-0.6,1.8,2.4,-87.8,0.9,6,0.8,1.8,20,0.2,0.5,1,Premier_league
2018-2019,Matchweek 11,11,1,2,0,-1.8,-2.6,-5.4,-79.4,0.5,8,2,1.8,6,1.8,1.6,0,Premier_league
2018-2019,Matchweek 11,11,0,1,-0.2,-2.4,-1.2,-4,-238.4,-0.2,19,0.6,0.8,10,1.4,1.4,0,Premier_league
2018-2019,Matchweek 11,11,3,1,1.4,7.2,3.4,-11,174.4,0.9,3,1.8,2.2,14,0.4,1.2,1,Premier_league
2018-2019,Matchweek 11,11,3,1,0.8,9.6,3.8,3.8,189,0.9,8,1.8,2,12,1.8,0.8,1,Premier_league
2018-2019,Matchweek 11,11,5,1,2.6,5.6,2.8,-4.4,303.6,1.6,1,2.6,3,16,0.4,0.8,1,Premier_league
2018-2019,Matchweek 11,11,1,0,-0.8,-0.4,-0.8,2.6,-12.6,-1,16,0.4,0.2,7,1.4,1.8,1,Premier_league
2018-2019,Matchweek 11,11,3,2,-1,2,-0.4,8,59.4,0.2,13,0.6,0.4,14,1.4,0.8,1,Premier_league
2018-2019,Matchweek 11,11,2,3,-0.4,2,0.8,0.8,-109.8,-0.5,11,1.4,1.6,4,2.4,2.4,0,Premier_league
2018-2019,Matchweek 12,12,2,1,0.4,7.4,2,-1.8,20.2,0.6,16,0.6,0.6,12,1.8,0.8,1,Premier_league
2018-2019,Matchweek 12,12,0,1,-0.6,-0.8,-2.2,3.2,-60.6,-0.2,16,0.2,0.4,3,2.4,2.4,0,Premier_league
2018-2019,Matchweek 12,12,2,0,0.8,1.6,1.6,-1.8,106,0.7,2,1.8,2.6,19,0.2,0.4,1,Premier_league
2018-2019,Matchweek 12,12,3,1,0.6,4.6,0,-0.8,164.2,0.5,1,2.6,3,6,2.2,2.2,1,Premier_league
2018-2019,Matchweek 12,12,2,1,-1.4,1.6,-0.6,7.2,-16,-1.1,13,0.8,0.8,9,2,1.8,1,Premier_league
2018-2019,Matchweek 13,13,1,0,0.2,1.4,0.6,4,141.8,0,6,2,2,18,1.2,0.2,1,Premier_league
2018-2019,Matchweek 13,13,3,2,0.2,-2,-2,-1.2,136.2,-0.6,16,0.2,0.8,18,0.6,0.8,1,Premier_league
2018-2019,Matchweek 13,13,3,1,-1.2,-8.4,-2.2,2.6,-171.8,-1,3,2.4,1.5,4,2.2,2.2,1,Premier_league
2018-2019,Matchweek 13,13,0,3,-0.4,-1.6,-0.6,-0.2,-147.8,0.1,8,1.4,1.8,2,2.2,2.2,0,Premier_league
2018-2019,Matchweek 13,13,0,4,-1.8,-3.4,-3.2,5,-207.4,-1,14,1,1,1,2.6,2.2,0,Premier_league
2018-2019,Matchweek 13,13,0,2,0.4,-0.2,0.2,-0.8,-62,0.7,11,0.8,1.4,18,0.6,0.4,0,Premier_league
2018-2019,Matchweek 14,14,4,2,0,3,-0.6,3.2,153.2,0.1,5,1.4,2.2,3,2.4,3,1,Premier_league
2018-2019,Matchweek 14,14,2,1,0.8,-2.4,-1.2,-5.6,-147,-0.2,15,1.2,1.2,12,0.2,1.6,1,Premier_league
2018-2019,Matchweek 14,14,2,0,1,8.4,2.4,-0.4,265.6,1.1,4,1.6,1.8,18,0.8,0.2,1,Premier_league
2018-2019,Matchweek 14,14,2,0,0,2.6,0.6,6.2,-2.8,0.4,14,0.4,0.4,17,0.4,0.8,1,Premier_league
2018-2019,Matchweek 14,14,1,2,-0.4,5.8,2.8,8.4,163,-0.1,20,1,0.4,11,1.4,0.8,0,Premier_league
2018-2019,Matchweek 14,14,2,0,-0.6,3.4,0.4,0.6,-1.4,0.2,7,1.2,1,9,1.4,1,1,Premier_league
2018-2019,Matchweek 14,14,1,0,0.8,1,1.2,-3.6,166.8,0,2,2.6,2.6,7,2,1,1,Premier_league
2018-2019,Matchweek 14,14,3,1,2.4,5,3.4,-0.4,247,1.2,1,3,3,10,1,1.2,1,Premier_league
2018-2019,Matchweek 14,14,0,3,-0.2,4.8,0.8,-3.4,57.4,0.2,15,1.6,1.2,13,1,1,0,Premier_league
2018-2019,Matchweek 15,15,3,1,0.2,-6,-1,-1.6,-12.8,-0.4,9,1.4,1.6,14,1,0.8,1,Premier_league
2018-2019,Matchweek 15,15,1,3,-1.6,-8.4,-3.6,-0.4,-234.4,-1.2,17,0.4,1,2,2.6,2.2,0,Premier_league
2018-2019,Matchweek 15,15,2,1,-0.4,-2.2,1.4,-1.4,-118.4,0.2,6,1.6,1.6,5,1.4,2.2,1,Premier_league
2018-2019,Matchweek 15,15,3,1,0.6,-5.6,-0.4,1.6,59.8,0.2,3,1.8,1.8,19,0.6,0.2,1,Premier_league
2018-2019,Matchweek 15,15,1,2,-2.4,-4,-3.2,0.4,-259.6,-0.7,10,0.8,1.2,1,3,2.2,0,Premier_league
2018-2019,Matchweek 15,15,3,1,0.6,-0.8,1,2.8,69.8,0.2,13,1.6,1,16,1.2,0.2,1,Premier_league
2018-2019,Matchweek 15,15,2,1,-1.2,-0.8,-1.2,2.4,-272.2,-0.2,12,0.2,1.2,4,2,1.6,1,Premier_league
2018-2019,Matchweek 16,16,1,0,0.6,0.6,-0.6,-3,148.8,0.6,5,1.2,2.2,19,1.2,1,1,Premier_league
2018-2019,Matchweek 16,16,0,3,-1,-6.4,-3.6,0.2,-218.8,-1.1,11,0.4,1.2,1,2.6,2.2,0,Premier_league
2018-2019,Matchweek 16,16,1,0,-0.8,-1.2,-0.2,-3.2,-13.6,0.1,15,0.4,1,10,1.4,1.2,1,Premier_league
2018-2019,Matchweek 16,16,1,0,-0.4,-3,-3,-0.6,-89,0.2,14,1.2,1.8,19,0.4,0.2,1,Premier_league
2018-2019,Matchweek 16,16,2,0,-2,0.2,-1.6,3.8,-48.2,-0.9,4,1.4,1.8,2,3,2.6,1,Premier_league
2018-2019,Matchweek 16,16,2,1,0.6,2.4,0.6,3.4,73,0.1,7,1.6,2.6,11,0.2,0.8,1,Premier_league
2018-2019,Matchweek 16,16,0,2,-1.4,-0.2,-3,0.2,-57.2,-0.1,8,1.8,1.6,3,2.4,2.4,0,Premier_league
2018-2019,Matchweek 16,16,4,1,0.6,-0.8,0.6,3,96.2,0.7,6,1.6,2.2,18,1,0.2,1,Premier_league
2018-2019,Matchweek 16,16,1,2,-0.2,1.8,0.2,-2.6,5.2,0,16,1.6,1.2,9,0.8,1,0,Premier_league
2018-2019,Matchweek 16,16,3,2,1.2,-4,0.4,1.2,-34.6,0.4,13,2,1.4,16,0.8,0.2,1,Premier_league
2018-2019,Matchweek 17,17,1,2,0.2,-2.4,-1.6,-1,-184.2,-0.3,12,1.4,2,4,1.4,1.4,0,Premier_league
2018-2019,Matchweek 17,17,1,0,0.2,3.8,1.4,-2.4,59.8,0,14,0.8,1,9,1.2,1.6,1,Premier_league
2018-2019,Matchweek 17,17,0,2,-1,1.8,-0.2,-2,-37.8,-0.5,19,0.8,1,11,2,1.6,0,Premier_league
2018-2019,Matchweek 17,17,0,1,0,-1.2,0,3.6,17.8,-0.5,20,1,0.4,14,1,0.8,0,Premier_league
2018-2019,Matchweek 17,17,3,1,0.6,3.4,0.8,-5.2,124.6,0.8,1,3,2.6,6,1.6,1.2,1,Premier_league
2018-2019,Matchweek 17,17,3,1,1.6,2,2,-2,260.4,0.7,2,2.4,3,7,1.6,0.8,1,Premier_league
2018-2019,Matchweek 17,17,3,2,-0.4,0.8,1.2,0,-127.2,-0.6,18,0.4,0.8,5,1.6,1.6,1,Premier_league
2018-2019,Matchweek 17,17,1,0,1.6,2.2,2.2,3.2,115,0.5,3,2.4,1.8,17,1,0.8,1,Premier_league
2018-2019,Matchweek 17,17,3,2,-0.6,-2.8,0.2,0,63,-0.5,9,0.2,0.6,16,1.8,0,1,Premier_league
2018-2019,Matchweek 17,17,2,0,0.4,4.2,1.6,5.4,18,0.5,8,1.4,1.2,13,0.4,1.2,1,Premier_league
2018-2019,Matchweek 18,18,3,1,1.2,6.2,1,2,199.2,0.8,5,1.4,2.2,18,0.8,0.2,1,Premier_league
2018-2019,Matchweek 18,18,2,0,-0.8,-3.2,-0.6,-9,-71,-0.5,11,0.4,0.6,13,1.4,1.2,1,Premier_league
2018-2019,Matchweek 18,18,1,5,-0.6,-0.8,-3.4,-3.6,-225,0.4,17,1.2,2.4,6,1.6,1,0,Premier_league
2018-2019,Matchweek 18,18,0,1,0.8,3,1.6,-2.4,183,0.3,4,1.8,2.2,7,1,1,0,Premier_league
2018-2019,Matchweek 18,18,2,6,-1.2,0.2,-1.6,0.6,-12.6,0,7,1.4,2.6,3,2.4,2.4,0,Premier_league
2018-2019,Matchweek 18,18,1,3,-0.8,-2.4,-1.6,1.4,29,-0.3,20,0.8,0.4,16,0.8,0.2,0,Premier_league
2018-2019,Matchweek 18,18,2,3,1.2,-1.6,1.8,-1.8,240.2,0.9,2,2.4,3,14,1.4,0.2,0,Premier_league
2018-2019,Matchweek 18,18,0,2,1.2,-1.8,1.2,2.8,-47.2,0,12,2.4,1.8,7,0.6,0.8,0,Premier_league
2018-2019,Matchweek 18,18,0,2,-1.2,-7.2,-3.4,5,-219.2,-1.1,10,1.8,1.2,1,3,2.6,0,Premier_league
2018-2019,Matchweek 19,19,1,5,-0.6,-3.8,-0.6,1.8,-143,-0.4,18,0.6,1,7,0.8,0.8,0,Premier_league
2018-2019,Matchweek 19,19,2,1,-1.2,-5.4,-2.4,5.4,-321.6,-1,7,1.4,1,3,1.8,2,1,Premier_league
2018-2019,Matchweek 19,19,4,0,1.8,8.8,3.2,-3.6,229.8,1.5,1,3,2.6,15,1,1.2,1,Premier_league
2018-2019,Matchweek 19,19,3,1,2.2,-0.8,3,2.4,43,0.6,5,2,2.6,20,0.2,1,1,Premier_league
2018-2019,Matchweek 19,19,1,2,-0.4,2.2,-1.2,-2.8,-14.2,-0.3,16,1.4,1.2,11,2.4,1.6,0,Premier_league
2018-2019,Matchweek 19,19,5,0,2,3.6,3.2,4.6,115.6,1,2,2.4,2.4,12,0.8,1.2,1,Premier_league
2018-2019,Matchweek 19,19,1,2,0,-1.4,-0.8,0.4,-182,0.1,9,1.2,1.2,4,1.8,1.8,0,Premier_league
