Season,Round,round_num,home_Gls,away_Gls,goals_diff,shots_diff,SoT_diff,tackles_diff,touches_diff,xG_diff,home_side_rank,home_side_rolling_points,home_side_rolling_points_home,away_side_rank,away_side_rolling_points,away_side_rolling_points_away,win_loss,League
2022-2023,Matchweek 15,15,0,2,-0.2,-1,-1.2,-5.4,-54.4,0.2,11,0.8,1.6,16,1.4,0.6,0,Premier_league
2022-2023,Matchweek 15,15,4,3,-0.2,4.2,0.2,9.4,42.2,0.7,15,0.6,0.8,17,0.8,1,1,Premier_league
2022-2023,Matchweek 15,15,2,1,0.6,-2.8,1.2,0.6,68.6,-0.2,1,2.4,3,9,1.6,1.2,1,Premier_league
2022-2023,Matchweek 15,15,1,5,-1.6,-5.2,-1,3.8,-9.2,-1,18,1,1,3,2.6,2,0,Premier_league
2022-2023,Matchweek 15,15,1,2,0.4,-0.6,-1.4,-3,-45.2,-0.1,6,1.8,2.4,8,1.2,0.4,0,Premier_league
2022-2023,Matchweek 15,15,1,2,0.2,5,1,-1.6,47.4,0.9,14,1.4,2.4,9,2,0.4,0,Premier_league
2022-2023,Matchweek 15,15,2,3,-0.4,-7.6,-3.4,-1.2,-174.4,-0.6,19,0.8,1.4,3,0.8,1.4,0,Premier_league
2022-2023,Matchweek 16,16,3,0,0.6,1,1.4,-2.6,-40.8,-0.3,15,0.2,0.8,13,0.8,0.8,1,Premier_league
2022-2023,Matchweek 16,16,1,4,-0.2,6.6,0.8,-3.6,194.4,0.3,4,1.4,2,9,1.2,1,0,Premier_league
2022-2023,Matchweek 16,16,3,1,0.2,5.2,1.8,-3.6,176.2,0.7,7,1.8,1.8,19,1,0.6,1,Premier_league
2022-2023,Matchweek 16,16,1,2,0.8,4.2,2,-1.2,184.4,0.2,2,2.4,3,9,1.2,1,0,Premier_league
2022-2023,Matchweek 16,16,1,0,1.4,3.6,0.8,0.2,-108.8,0.6,3,2.6,2.2,8,1.4,1.4,1,Premier_league
2022-2023,Matchweek 16,16,2,0,-0.4,-1.2,0.4,0.2,-143.6,0.4,18,1,1,12,2,1,1,Premier_league
2022-2023,Matchweek 16,16,4,3,-0.2,1.8,0.8,-11.2,90,-0.2,5,1.2,1.8,17,1.2,0.6,1,Premier_league
2022-2023,Matchweek 16,16,0,2,-0.6,3,-1.6,-1.4,45.2,0.2,15,0.8,1.8,14,2,1.2,0,Premier_league
2022-2023,Matchweek 16,16,0,2,-0.8,-1.8,0,3,-158,-0.4,20,0.8,1.2,1,2,2,0,Premier_league
2022-2023,Matchweek 17,17,3,1,1.4,1.8,0,-3.2,65.6,0.6,1,2,2.4,15,0.6,0.2,1,Premier_league
2022-2023,Matchweek 17,17,1,3,1.2,-6.4,-2.2,7.4,-280.4,0.2,11,1.8,2,7,1.8,1,0,Premier_league
2022-2023,Matchweek 17,17,2,0,-1,-1.2,-1.4,2.4,144.6,-0.2,8,0.8,2,15,0.6,1,1,Premier_league
2022-2023,Matchweek 17,17,0,3,-0.6,-3,-2.2,3.4,94.6,-0.8,12,1.8,2,9,1.6,1.2,0,Premier_league
2022-2023,Matchweek 17,17,1,2,0,-2.2,-0.4,3.6,89.6,0.1,13,0.8,1.4,18,0.2,0.2,0,Premier_league
2022-2023,Matchweek 17,17,1,3,0.2,-1.2,-0.4,10.8,-60.8,0,17,1.2,1.4,2,2.4,2,0,Premier_league
2022-2023,Matchweek 17,17,0,4,-0.8,-3.4,0,0.6,-39.2,-0.4,14,2.4,1.4,3,3,2.6,0,Premier_league
2022-2023,Matchweek 17,17,3,0,0.2,5.4,2.2,-3.6,173.8,0,5,1.4,2.6,19,1.6,0.2,1,Premier_league
2022-2023,Matchweek 17,17,1,2,-1,-5.8,-2.6,4.6,-123.4,-0.6,20,0.8,0.4,4,1.4,1.8,0,Premier_league
2022-2023,Matchweek 18,18,0,2,1,-0.4,2.6,1,-134,0.1,15,0.6,1.4,12,1.2,0.8,0,Premier_league
2022-2023,Matchweek 18,18,2,4,-0.2,-1.8,1.4,2.6,-10,-0.6,4,1.8,1.4,1,2.6,2.6,0,Premier_league
2022-2023,Matchweek 18,18,0,1,0.2,5.6,3,-2.6,201.8,0.6,7,1.8,1.8,13,1.8,1.8,0,Premier_league
2022-2023,Matchweek 18,18,0,2,-0.6,6.6,1.6,-5,164.2,-0.3,6,1.4,1.8,11,1.8,1,0,Premier_league
2022-2023,Matchweek 18,18,0,2,-0.6,3.2,0,2,105.2,-0.3,15,0.6,1.8,9,1.2,1,0,Premier_league
2022-2023,Matchweek 18,18,0,1,-0.4,-1.8,-2,0.4,-157.8,-0.5,18,0.8,0.6,4,1.4,0.8,0,Premier_league
2022-2023,Matchweek 19,19,2,1,1,-1,-0.2,2,70.4,0.5,11,1.8,1.8,19,0.8,0.8,1,Premier_league
2022-2023,Matchweek 19,19,2,1,0,-8.4,-3.2,-1.6,-267.4,-0.3,7,1.8,1.2,7,1.8,1.4,1,Premier_league
2022-2023,Matchweek 19,19,0,1,-0.8,-10.8,-2,7.4,-115,-1.2,7,0.8,2,2,2,2.4,0,Premier_league
2022-2023,Matchweek 19,19,0,4,-1,-3.8,-2.6,3.6,-121,-0.2,12,1.8,1.8,6,1.4,1.4,0,Premier_league
2022-2023,Matchweek 19,19,1,4,-1.8,-3,-3.2,4.4,-148,-0.5,14,0.4,1.2,4,1.8,1.8,0,Premier_league
2022-2023,Matchweek 19,19,0,1,-0.4,-3.8,-1,-0.2,-21.2,-0.7,13,1.8,1.4,7,1.2,1.8,0,Premier_league
2022-2023,Matchweek 19,19,3,0,-0.2,5,1.2,-0.8,168,0.6,4,2,2.6,18,0.6,0.4,1,Premier_league
2022-2023,Matchweek 19,19,0,1,-0.2,0,-0.2,-1.8,78.2,0,20,0.2,0.4,15,1,0.2,0,Premier_league
2022-2023,Matchweek 20,20,2,1,0.4,-1.2,1,-4.6,15,0.4,9,2.4,1.8,16,1,0.8,1,Premier_league
2022-2023,Matchweek 20,20,2,0,0.8,-0.8,0.4,-2.2,-58.4,0.5,7,2.2,1.8,19,0.6,0.2,1,Premier_league
2022-2023,Matchweek 20,20,3,0,0.6,-3.2,-0.4,0.2,-1.8,-0.5,4,1.8,0.8,10,1.8,1.2,1,Premier_league
2022-2023,Matchweek 20,20,1,0,-0.2,-4,-0.8,4.8,79.4,-0.3,7,0.8,1.8,12,1.2,1.4,1,Premier_league
2022-2023,Matchweek 20,20,1,2,-0.2,-0.2,-0.2,2,41.8,-0.1,15,0.2,0.6,19,0.2,0.8,0,Premier_league
2022-2023,Matchweek 20,20,2,1,0.2,-5,1.4,0,-116.8,-0.3,4,2,2.6,2,2,2.4,1,Premier_league
2022-2023,Matchweek 20,20,1,0,0.4,-1,-0.8,1.8,-62.4,-0.1,3,2.2,2.6,10,1.6,1.8,1,Premier_league
2022-2023,Matchweek 20,20,2,0,0.2,1.8,-0.6,3,-166.4,0.1,13,1.6,1.8,13,1.8,2.4,1,Premier_league
2022-2023,Matchweek 20,20,0,1,0.2,-2.4,1.2,1.4,68.6,-1,6,1.4,1.2,1,2.6,2.6,0,Premier_league
2022-2023,Matchweek 20,20,1,0,0.2,-4.8,-0.4,2.8,-119.8,-0.3,16,0.6,0.6,16,0.2,0.4,1,Premier_league
2022-2023,Matchweek 21,21,3,2,-0.2,0.4,-1.6,0,8,-0.1,1,2.6,2,5,2.6,1.4,1,Premier_league
2022-2023,Matchweek 21,21,0,1,-0.6,-0.8,-1.4,0.4,-76.6,0.6,11,1.6,1.4,6,1.4,2,0,Premier_league
2022-2023,Matchweek 21,21,3,0,0.6,6.6,1.2,-7.2,238.4,1.4,2,1.4,2,18,1.2,0.8,1,Premier_league
2022-2023,Matchweek 21,21,0,1,-1.2,-1.8,-1.2,-2.4,-45.6,-0.6,20,0.8,0.4,7,2.4,1.4,0,Premier_league
2022-2023,Matchweek 21,21,2,0,-0.2,5.2,0.4,-3.2,16.6,0.2,15,0.2,1.2,16,0.2,0.4,1,Premier_league
2022-2023,Matchweek 22,22,1,4,1,4.6,2.4,1.6,-22.6,0.5,8,2.4,2.4,12,0.8,2.4,0,Premier_league
2022-2023,Matchweek 22,22,3,0,0.8,-1.2,0.8,-2.2,-32.8,0.4,7,2.2,1.8,20,0.8,1.4,1,Premier_league
2022-2023,Matchweek 22,22,1,0,2.4,4.2,3.2,-2.8,177.8,1,3,2,1.4,19,0.2,0,1,Premier_league
2022-2023,Matchweek 22,22,1,0,-1.4,-8.6,-2,-0.2,-17,-1.2,15,0.2,0.6,1,2.6,2.6,1,Premier_league
2022-2023,Matchweek 22,22,2,1,1.8,2.2,2.2,-8.2,96,1.1,5,2.4,3,12,0.8,1.2,1,Premier_league
2022-2023,Matchweek 22,22,1,0,0.2,4.4,1.6,-2.6,-11.6,0.7,12,1.6,2.2,18,0.6,0.8,1,Premier_league
2022-2023,Matchweek 22,22,1,0,-0.4,-1.8,0.8,7,-108.6,-1.2,6,1.4,0.6,2,2,2.4,1,Premier_league
2022-2023,Matchweek 22,22,3,0,0,-4,-1.8,2.2,-98.2,-0.8,17,1.2,0.6,10,0.8,1.2,1,Premier_league
2022-2023,Matchweek 23,23,2,1,-0.2,7.6,1,0.6,142.6,0.7,1,2,2,7,2.6,1.6,1,Premier_league
2022-2023,Matchweek 23,23,2,0,-0.8,-7.2,-2.2,-3.2,20.6,-0.6,10,1,1.2,14,2.2,1,1,Premier_league
2022-2023,Matchweek 23,23,0,2,-1.4,-0.8,-1,6.2,21,-0.5,18,0.6,1,3,2.4,0.8,0,Premier_league
2022-2023,Matchweek 23,23,4,1,0.2,-2.6,-0.8,-1.6,-23.6,0.2,12,1.4,0.8,6,1.8,2,1,Premier_league
2022-2023,Matchweek 23,23,2,0,-0.6,8,0.6,-0.4,128.4,0.5,10,0.2,1.4,15,0.8,0.4,1,Premier_league
2022-2023,Matchweek 23,23,3,1,-0.4,-3,-1.2,-4.6,115.4,0,2,1.4,2,9,2.4,1.8,1,Premier_league
2022-2023,Matchweek 24,24,2,3,0.2,-6.2,-0.8,0.4,-102.8,-0.5,11,1.8,1.8,1,2,2.4,0,Premier_league
2022-2023,Matchweek 24,24,0,1,1.6,6.8,3.8,0.6,250.6,1.1,4,2.2,1.8,8,1.4,1.4,0,Premier_league
2022-2023,Matchweek 24,24,0,1,-0.2,-1.2,-0.4,8.8,220.8,0.4,10,1.2,1.4,19,0.8,0.8,0,Premier_league
2022-2023,Matchweek 24,24,1,0,0,-4.2,-1.8,-4.8,-19.2,-0.5,15,0.6,0.6,20,0.4,0.8,1,Premier_league
2022-2023,Matchweek 24,24,3,0,0.2,0.4,0.4,0.2,6.6,-0.1,3,2.4,3,12,1.4,2.4,1,Premier_league
2022-2023,Matchweek 24,24,0,2,0,-0.8,0.8,2.4,-51.4,0,4,1.4,2.2,8,0.8,1.2,0,Premier_league
2022-2023,Matchweek 24,24,2,1,-0.6,3.4,-0.4,7.2,-166.8,-0.4,12,2,2.2,2,1.8,1.8,1,Premier_league
2022-2023,Matchweek 24,24,2,0,0.2,0.2,2.4,-1.2,107.8,-0.1,6,1.8,1.2,16,1.2,0.4,1,Premier_league
2022-2023,Matchweek 24,24,0,1,0.8,1.8,0,0.8,111.4,0.2,17,1.4,1.2,17,0.4,0,0,Premier_league
2022-2023,Matchweek 25,25,1,3,-1,-4,-2.4,7.2,-238.8,-0.9,18,1,1,2,1.2,1.2,0,Premier_league
2022-2023,Matchweek 25,25,0,2,-0.8,-2.2,-1.4,-0.4,17.6,-0.1,15,1.2,1.2,7,1.2,1.8,0,Premier_league
2022-2023,Matchweek 25,25,1,0,-0.6,-1,-0.6,-1,50.4,0.4,18,0.2,1,20,1.4,1.4,1,Premier_league
2022-2023,Matchweek 25,25,0,1,0.2,-9,-1.8,4,-180.4,-0.7,12,1.4,0.8,1,2.4,2.4,0,Premier_league
2022-2023,Matchweek 25,25,1,0,0.8,2.4,2.2,7.6,70.4,0.6,3,2.4,3,7,1.6,1.6,1,Premier_league
2022-2023,Matchweek 25,25,3,1,-0.8,-2.2,-1.4,0,-129,-0.5,4,1.2,1.6,5,1.6,2.2,1,Premier_league
2022-2023,Matchweek 25,25,2,0,0.6,-0.2,1.2,-8.8,-197.2,-0.1,5,1.8,1.8,11,1.2,0.6,1,Premier_league
2022-2023,Matchweek 25,25,6,0,-0.4,-2.8,-1.8,0.8,-61,-0.3,15,1,0.8,12,2,0.8,1,Premier_league
2022-2023,Matchweek 26,26,3,2,1,8.8,2.2,1,288.8,0.9,1,2.4,2.6,19,1,0.6,1,Premier_league
2022-2023,Matchweek 26,26,3,2,0.2,-0.8,-1.6,-2.2,-26.8,0.4,7,1,2.2,11,1.6,2,1,Premier_league
2022-2023,Matchweek 26,26,4,0,-1,3.6,2.2,-3.6,241.4,0,4,1,1.2,16,1.6,0.4,1,Premier_league
2022-2023,Matchweek 26,26,2,0,0,1,-1,0.6,162.6,0.2,9,0.6,1.4,19,0.8,0.2,1,Premier_league
2022-2023,Matchweek 26,26,7,0,-1.2,0.6,-0.4,-6.6,44.8,-0.1,7,1.6,1.4,3,2.4,1.4,1,Premier_league
2022-2023,Matchweek 26,26,2,0,1,1.6,0,0.2,152,0.6,2,1.8,2,4,1.2,1.8,1,Premier_league
2022-2023,Matchweek 26,26,1,0,-1.6,1.2,0.4,4.4,34,-0.7,18,0.8,0.2,14,1.4,1.8,1,Premier_league
2022-2023,Matchweek 26,26,1,0,-0.4,0.8,-0.8,-0.6,114.6,0.2,16,1,1.2,6,2.4,2,1,Premier_league
2022-2023,Matchweek 27,27,1,0,-1.2,-7,-2.8,1.8,-232,-0.8,18,0.8,1,8,2,0.8,1,Premier_league
2022-2023,Matchweek 27,27,0,1,-1.2,-10,-3.6,4.4,-226.2,-1.4,13,0.8,0.6,2,1.8,1.2,0,Premier_league
2022-2023,Matchweek 27,27,1,0,-0.8,0.6,-0.2,4.4,18.8,0,12,1.4,1.2,8,1.4,1.4,1,Premier_league
2022-2023,Matchweek 27,27,0,3,-0.6,-11.4,-1.6,-1.2,-313.6,-1,11,1.6,1.2,1,2.4,2.4,0,Premier_league
2022-2023,Matchweek 27,27,1,3,1,-2.2,-0.4,0.2,-210.6,0.4,15,1.2,0.8,7,1,0.6,0,Premier_league
2022-2023,Matchweek 27,27,2,1,-0.2,1.6,0.8,-6.2,-105.2,0.6,4,1,1.6,17,1.6,1,1,Premier_league
2022-2023,Matchweek 27,27,3,1,0.2,3.2,1.4,-3.6,-27,0.3,6,1.8,1.8,13,1.4,0.8,1,Premier_league
2022-2023,Matchweek 28,28,4,1,2,15.4,5.4,-2,315.8,1.6,1,3,2.6,13,0.8,1,1,Premier_league
2022-2023,Matchweek 28,28,3,0,0,0.6,0.6,-1.2,52.6,0,8,1,1.4,20,1.4,0.6,1,Premier_league
2022-2023,Matchweek 28,28,1,0,0.4,1.4,0.6,-2.6,125.8,0.7,5,1,1.8,4,2,1.4,1,Premier_league
2022-2023,Matchweek 28,28,1,0,1,4,2.6,3.6,174.2,1,7,2,2,11,1.4,1.4,1,Premier_league
2022-2023,Matchweek 28,28,3,0,0.4,4.8,1.6,-2.8,248.8,0.6,2,2.4,2,16,1,0.4,1,Premier_league
2022-2023,Matchweek 28,28,1,2,-0.2,-4.6,-2.6,2.4,92,-0.9,13,0.8,2.2,3,1.4,1.2,0,Premier_league
2022-2023,Matchweek 28,28,2,4,0.2,-1.6,0.4,-2.2,149.8,0,17,1,1.8,17,0.8,0.2,0,Premier_league
2022-2023,Matchweek 29,29,4,1,1.4,8.4,3.2,-3,259.6,1.1,1,3,2.6,19,1.4,0.6,1,Premier_league
2022-2023,Matchweek 29,29,2,1,0.2,-1.8,-1,-0.2,-73.2,0.3,17,1.2,1,11,0.8,0.8,1,Premier_league
2022-2023,Matchweek 29,29,0,2,-0.2,4,0,5,198.2,-0.3,9,1.4,1.6,7,1.6,2,0,Premier_league
2022-2023,Matchweek 29,29,4,1,0,2.4,-0.4,-0.4,66.4,0.4,2,2.4,2.6,8,2,0.8,1,Premier_league
2022-2023,Matchweek 29,29,2,0,0.6,-0.8,0.2,-6.6,-87,0.4,3,1.8,2,4,1.4,1.2,1,Premier_league
2022-2023,Matchweek 29,29,1,0,0.4,-1.6,-0.8,-8.6,-60.4,0.4,13,0.8,1.6,19,1.6,1.4,1,Premier_league
2022-2023,Matchweek 30,30,2,0,0.6,-1.6,-1,0.4,-53.4,0.9,7,2.2,1.4,16,0.4,0.8,1,Premier_league
2022-2023,Matchweek 30,30,1,5,1.2,0.2,0.8,2.8,2,0.2,19,1.4,1.2,12,0.6,0.4,0,Premier_league
2022-2023,Matchweek 30,30,0,1,-0.6,0.4,-1.6,0.4,103.6,-0.2,16,0.4,0.8,14,1.2,0.6,0,Premier_league
2022-2023,Matchweek 30,30,2,0,-1,-1.2,-0.8,-4,76.2,-0.4,4,0.8,2.6,13,1.2,0.6,1,Premier_league
2022-2023,Matchweek 30,30,1,4,-1.8,-2.8,-1.4,6.6,-147.4,-1.1,19,1,1,2,3,1.2,0,Premier_league
2022-2023,Matchweek 30,30,2,1,-0.4,-5.6,-2.6,-1.4,-105,-1.3,5,1.6,2.4,5,1.6,1.2,1,Premier_league
2022-2023,Matchweek 30,30,1,0,-0.2,-5.8,-1.2,-2.8,-74.8,-0.5,16,1,1.8,10,1.4,1.2,1,Premier_league
2022-2023,Matchweek 31,31,3,0,0.2,-3.4,-0.8,-2.2,20.6,-0.3,7,2.2,1.4,4,2,1.2,1,Premier_league
2022-2023,Matchweek 31,31,1,2,-0.8,-3,-1.6,6.2,39.4,-1.1,10,1.4,1,5,1.6,0.6,0,Premier_league
2022-2023,Matchweek 31,31,1,4,0.6,1,0.6,6.6,-215.8,0.1,15,1.2,2,11,0.2,0.8,0,Premier_league
2022-2023,Matchweek 31,31,1,6,-0.6,-3.8,-0.2,5,-122.4,-1.1,19,0.8,1,8,1.4,0.8,0,Premier_league
2022-2023,Matchweek 31,31,3,1,2.2,2,3,-6.8,142.8,1,2,3,3,17,0.4,1,1,Premier_league
2022-2023,Matchweek 31,31,0,2,0.6,-2.2,-0.4,-0.6,-8.6,-0.4,17,0.4,1.6,3,0.8,0.6,0,Premier_league
2022-2023,Matchweek 31,31,0,2,-0.4,-0.8,-0.6,-0.2,69.2,-0.2,19,1,1,12,1,1,0,Premier_league
2022-2023,Matchweek 31,31,2,3,0.6,3.4,-1,-2.4,75.4,-0.2,6,1.6,3,13,1.8,1.2,0,Premier_league
2022-2023,Matchweek 31,31,2,0,-0.4,1,0.6,1.8,188.4,-0.6,14,1.4,1.8,9,1.2,0.4,1,Premier_league
2022-2023,Matchweek 32,32,0,4,0.6,-0.6,1.8,-3,84.6,0.3,14,2.4,1.6,13,1.2,0.4,0,Premier_league
2022-2023,Matchweek 32,32,2,0,-0.8,4,-1,-2.2,197.2,0,9,0.8,1,20,0.8,0.6,1,Premier_league
2022-2023,Matchweek 32,32,2,1,-0.6,-0.2,-1.8,-4.2,-128,0.3,15,0.4,0.8,15,1.4,0.6,1,Premier_league
2022-2023,Matchweek 32,32,4,1,-0.4,0.2,1,-6.2,-93.8,0.4,3,1.4,2.6,11,0.8,1,1,Premier_league
2022-2023,Matchweek 32,32,6,1,-0.8,0.4,0.6,3.4,-69,0.3,4,2,2,6,1.6,1,1,Premier_league
2022-2023,Matchweek 33,33,1,0,0.8,-2,0.2,-2.2,-153.8,0.7,6,2.6,2,10,1.4,1.2,1,Premier_league
2022-2023,Matchweek 33,33,0,1,-0.4,5.8,0.4,3,262,0,11,0.2,0.8,9,0.8,0.2,0,Premier_league
2022-2023,Matchweek 33,33,1,4,-1.4,-2.6,-0.4,1.4,-97.2,-1.5,18,0.6,1.4,3,2,1,0,Premier_league
2022-2023,Matchweek 33,33,4,1,0,-0.8,1,-5.6,41,-0.2,2,2.6,3,1,1.8,2.2,1,Premier_league
2022-2023,Matchweek 33,33,3,1,-0.6,-12.4,-3.4,1.2,-227.6,-2,16,0.4,1,5,1.6,1,1,Premier_league
2022-2023,Matchweek 33,33,0,1,0.2,-3.4,-1.6,3,-54.8,-0.9,19,0.4,1,12,1.8,1.8,0,Premier_league
2022-2023,Matchweek 33,33,1,2,-1.2,-1.6,0.2,1.6,-252.8,-0.9,15,1.6,1.8,8,1.6,1.4,0,Premier_league
2022-2023,Matchweek 33,33,1,0,-0.4,-1.4,0,0.8,150.8,-0.3,14,1.4,1.8,12,1.6,1.6,1,Premier_league
2022-2023,Matchweek 34,34,3,1,2,-2.6,0.4,-5.8,-48.4,0.8,1,1.2,2.6,11,0,0.8,1,Premier_league
2022-2023,Matchweek 34,34,4,1,0.6,4,1.4,-7.6,150,0.7,12,2.4,1.4,19,0.2,0.6,1,Premier_league
2022-2023,Matchweek 34,34,2,1,-0.2,-1.6,-0.8,-1.4,14.2,0.4,9,1.2,1.4,17,1,0.2,1,Premier_league
2022-2023,Matchweek 34,34,6,0,0.4,11.2,4.4,-3,34.4,1.9,5,1,1.6,14,2,0.6,1,Premier_league
2022-2023,Matchweek 34,34,4,3,0,4.6,0.6,-2.2,112,0,12,1.6,0.8,15,1.6,0.8,1,Premier_league
2022-2023,Matchweek 34,34,1,2,-1.8,-0.4,-2.6,10.6,-81,-1.3,10,1.4,1.6,2,2.6,2,0,Premier_league
2022-2023,Matchweek 34,34,4,3,1.2,1.2,0.4,1,191.4,0.8,7,1.6,2.2,7,1,0.4,1,Premier_league
2022-2023,Matchweek 34,34,1,0,0.2,6.6,3.6,-1.2,136.8,1.8,4,2,2.6,6,2.6,1.6,1,Premier_league
2022-2023,Matchweek 34,34,2,1,1.8,7.4,2.4,-1,-27.4,1.8,3,2,2.4,19,0.2,1,1,Premier_league
2022-2023,Matchweek 35,35,1,3,1.2,3.2,2.4,-4.8,-99.2,0.5,12,2.4,1.8,11,0,0.6,0,Premier_league
2022-2023,Matchweek 35,35,1,4,1.4,5.4,2.2,-1.6,178,1.2,5,1.4,2.2,16,0.4,0.8,0,Premier_league
2022-2023,Matchweek 35,35,5,3,0.2,-2,-0.8,2.2,103,-1.3,10,1.4,1,18,1,0.6,1,Premier_league
2022-2023,Matchweek 35,35,1,0,2.4,5,0.8,3.2,353.4,0.9,6,2.2,2.2,9,1.6,0.8,1,Premier_league
2022-2023,Matchweek 35,35,2,1,2,-0.2,2,-11.2,192.6,1,2,2.6,3,19,0.2,0.6,1,Premier_league
2022-2023,Matchweek 35,35,0,1,0.4,2.8,0.2,2.4,-79.6,0.9,3,2,3,1,1.2,1.6,0,Premier_league
2022-2023,Matchweek 35,35,5,3,0.4,1.2,0.2,0.4,-140.6,0.5,16,0.8,1,19,0.2,0.4,1,Premier_league
2022-2023,Matchweek 35,35,1,0,-0.2,0.6,1.2,0.6,-61.8,0.2,6,0.8,2,12,2,1.4,1,Premier_league
2022-2023,Matchweek 35,35,1,0,-0.2,-8.2,-3,3.2,-238.4,-1.6,15,1,1.6,4,2.6,0.8,1,Premier_league
2022-2023,Matchweek 35,35,1,0,-0.4,-0.4,1,4.4,28.4,-0.4,14,1.8,2.4,8,2,1.6,1,Premier_league
2022-2023,Matchweek 36,36,0,3,-0.2,-7.6,-2,0.4,-5.4,-1.1,2,1.6,2.6,5,1.4,0.8,0,Premier_league
2022-2023,Matchweek 36,36,2,1,-0.8,-0.6,-2.4,-3.8,-11,-0.4,7,1.4,2.6,8,0.8,0.4,1,Premier_league
2022-2023,Matchweek 36,36,2,0,-1.4,-2.2,-0.8,-3.2,35.8,-0.3,9,1.4,1.8,15,1.4,0.8,1,Premier_league
2022-2023,Matchweek 36,36,2,0,-0.6,-0.8,-1.6,-1,-36.4,-0.5,12,1.4,1.2,13,1.8,1.8,1,Premier_league
2022-2023,Matchweek 36,36,0,3,-0.8,0.8,-0.2,5.2,-293,-0.7,17,1,0.8,1,2.6,2.6,0,Premier_league
2022-2023,Matchweek 36,36,0,3,-1.4,-1.4,0,1.2,-294.4,0.4,18,1,0.8,6,2.6,1.4,0,Premier_league
2022-2023,Matchweek 36,36,2,0,0.8,7,2.8,-2.2,135.8,1.8,3,2,2.6,14,1.8,0.4,1,Premier_league
2022-2023,Matchweek 36,36,0,2,-1,-1,-0.4,-3.4,31.8,0.2,20,0.2,0.8,10,1.8,0.6,0,Premier_league
2022-2023,Matchweek 37,37,0,1,-0.6,-6.8,-3.2,3.2,-70.2,-1.4,15,1.2,1.8,3,2,0.8,0,Premier_league
2022-2023,Matchweek 37,37,3,1,1,9.4,3.4,-4.4,120.4,1.3,5,1.4,1.6,20,0.2,0.4,1,Premier_league
2022-2023,Matchweek 37,37,1,0,1,0.6,1.4,-6.2,-51,0.8,1,2.6,3,11,0.8,1.2,1,Premier_league
2022-2023,Matchweek 37,37,1,0,1.2,-4.8,-1,4,-252.8,0.3,13,1.6,1.4,2,1.4,1.6,1,Premier_league
2022-2023,Matchweek 37,37,1,3,0.4,-3,-0.8,4,35.6,-0.3,8,0.8,2,9,2,0.8,0,Premier_league
2022-2023,Matchweek 37,37,3,1,0.8,0.6,1.8,-2.6,32.4,0,13,1.2,1.6,19,0.4,0.6,1,Premier_league
2022-2023,Matchweek 38,38,5,0,0.4,4.2,2.4,2.2,135.4,0.1,2,1.2,2,16,1.4,0.2,1,Premier_league
2022-2023,Matchweek 38,38,2,1,-2,-10,-4,2,-238,-1.6,6,1.4,3,5,1.8,1.4,1,Premier_league
2022-2023,Matchweek 38,38,1,0,-0.8,-1,-1.2,3.6,-244.6,-0.4,9,2.4,1.8,1,3,2.6,1,Premier_league
2022-2023,Matchweek 38,38,0,2,-0.4,-6,0.4,-0.2,59.4,-1.5,11,0.8,0.4,4,1.6,1.6,0,Premier_league
2022-2023,Matchweek 38,38,1,0,0.4,3.6,1.2,-1,-56.6,0.9,14,1,0.8,16,1.2,1.8,1,Premier_league
2022-2023,Matchweek 38,38,1,4,-0.4,-2,-1.4,2.6,-113.6,-0.4,19,0.4,0.6,8,0.8,0.4,0,Premier_league
2022-2023,Matchweek 38,38,2,1,-0.4,-1.4,-1,5.4,-39.6,0.5,18,0.6,0.8,14,1.2,0.8,1,Premier_league
2022-2023,Matchweek 38,38,2,1,-0.8,11.2,3.4,-2.2,131.6,0.8,3,2,2.6,10,1.4,1.2,1,Premier_league
2023-2024,Matchweek 1,1,2,1,,,,,,,1,,2,14,,0.6,1,Premier_league
2023-2024,Matchweek 1,1,4,1,,,,,,,1,,1.6,14,,,1,Premier_league
2023-2024,Matchweek 1,1,0,3,,,,,,,14,,1.2,1,,2,0,Premier_league
2023-2024,Matchweek 1,1,0,1,,,,,,,14,,0.8,1,,1.2,0,Premier_league
2023-2024,Matchweek 1,1,1,0,,,,,,,1,,3,14,,0.2,1,Premier_league
2023-2024,Matchweek 1,1,5,1,,,,,,,1,,2,14,,1,1,Premier_league
2023-2024,Matchweek 1,1,0,1,,,,,,,14,,1.8,1,,1.4,0,Premier_league
2023-2024,Matchweek 2,2,4,0,1,-11,-8,-1,-2,-2.4,8,0,3,17,0,1.2,1,Premier_league
2023-2024,Matchweek 2,2,0,1,-1,9,1,2,-156,1.1,8,3,1.8,1,3,1,0,Premier_league
2023-2024,Matchweek 2,2,0,3,-1,-1,-3,-7,200,-0.6,8,3,1.6,4,1,1.4,0,Premier_league
2023-2024,Matchweek 2,2,3,1,0,-1,-4,2,-133,-0.2,4,1,1.8,15,1,1.8,1,Premier_league
2023-2024,Matchweek 2,2,1,2,1,2,1,5,-88,1.3,17,0,,8,0,0.8,0,Premier_league
2023-2024,Matchweek 2,2,1,0,-2,0,-4,1,148,-1.5,1,3,3,8,3,1.6,1,Premier_league
2023-2024,Matchweek 2,2,2,1,1,-1,1,-4,-90,1.1,8,0,2,17,0,0.8,1,Premier_league
2023-2024,Matchweek 2,2,1,0,1,3,4,-2,232,-0.9,4,1,1.4,8,3,1.4,1,Premier_league
