Season,Round,Home Side,Away Side,round_num,home_Gls,away_Gls,goals_diff,shots_diff,SoT_diff,tackles_diff,touches_diff,xG_diff,home_side_rank,home_side_rolling_points,home_side_rolling_points_home,away_side_rank,away_side_rolling_points,away_side_rolling_points_away,win_loss,League,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA,Season_odds,League_odds,Home,Away,Predicted,Certainty
2023-2024,Matchweek 6,Cagliari,Milan,6.0,1,3,-1.8,-0.6,-2.6,2.6,-114.4,-0.8,19,0.4,0.8,1,2.4,1.8,0,Serie_A,I1,2023-09-27,Cagliari,Milan,1,3,A,1,2,A,16,17,6,6,13,6,3,5,3,1,0,0,5.25,3.8,1.67,5.25,3.9,1.65,5.5,3.9,1.63,5.46,3.96,1.68,5.5,3.5,1.53,5.75,3.7,1.62,4.73,3.43,1.92,2023-2024,Seria_A,Cagliari,Milan,0,0.07193595755652206
2023-2024,Matchweek 6,Empoli,Salernitana,6.0,2,0,-0.8,-1.0,-1.2,-1.8,-81.8,-0.2,17,0.0,0.6,19,0.4,0.2,1,Serie_A,I1,2023-09-27,Empoli,Salernitana,1,0,H,1,0,H,13,14,6,2,18,13,10,2,2,1,0,0,2.3,3.3,3.2,2.3,3.3,3.1,2.3,3.3,3.15,2.41,3.22,3.31,2.1,3.2,3.0,2.3,3.13,3.25,2.8,3.19,2.85,2023-2024,Seria_A,Empoli,Salernitana,1,0.8329818598446203
2023-2024,Matchweek 6,Frosinone,Fiorentina,6.0,1,1,-0.6,1.2,-1.4,-0.6,-94.4,0.6,10,1.2,1.0,5,2.0,2.0,0,Serie_A,I1,2023-09-28,Frosinone,Fiorentina,1,1,D,0,1,A,11,19,3,6,6,11,8,10,3,3,0,0,3.75,3.6,1.95,3.5,3.6,2.0,3.6,3.6,2.0,3.78,3.67,2.03,3.4,3.4,1.85,3.8,3.25,1.9,3.97,3.65,2.01,2023-2024,Seria_A,Frosinone,Fiorentina,0,0.49009619430635487
2023-2024,Matchweek 6,Genoa,Roma,6.0,4,1,-1.8,-9.8,-3.2,1.4,-214.6,-1.5,10,0.8,1.4,15,1.2,0.4,1,Serie_A,I1,2023-09-28,Genoa,Roma,4,1,H,2,1,H,8,13,4,3,7,12,1,7,4,3,0,0,3.8,3.25,2.05,3.6,3.2,2.15,3.65,3.25,2.15,3.85,3.31,2.14,3.3,3.0,2.05,3.9,2.9,2.0,4.1,3.24,2.13,2023-2024,Seria_A,Genoa,Roma,1,0.8281745022570834
2023-2024,Matchweek 6,Hellas Verona,Atalanta,6.0,0,1,-1.2,-2.8,-2.4,5.6,-29.6,-0.7,10,1.4,1.4,3,2.0,0.8,0,Serie_A,I1,2023-09-27,Verona,Atalanta,0,1,A,0,1,A,11,8,2,2,10,25,4,1,2,3,0,0,4.2,3.75,1.83,4.33,3.75,1.78,4.3,3.7,1.83,4.63,3.78,1.82,4.2,3.5,1.67,4.6,3.6,1.8,4.48,3.66,1.9,2023-2024,Seria_A,Hellas Verona,Atalanta,0,0.2471444645695323
2023-2024,Matchweek 6,Inter,Sassuolo,6.0,1,2,1.2,5.4,0.6,3.2,76.2,1.3,1,3.0,3.0,9,1.2,0.6,0,Serie_A,I1,2023-09-27,Inter,Sassuolo,1,2,A,1,0,H,13,13,3,6,10,8,8,6,0,1,0,0,1.33,5.5,8.0,1.35,5.5,8.0,1.33,5.5,8.0,1.32,5.99,9.3,1.25,5.0,8.0,1.29,5.5,10.0,1.28,6.79,9.97,2023-2024,Seria_A,Inter,Sassuolo,1,0.8726812551009028
2023-2024,Matchweek 6,Juventus,Lecce,6.0,1,0,0.4,0.2,0.0,0.0,69.6,0.7,3,2.0,2.0,5,2.2,1.2,1,Serie_A,I1,2023-09-26,Juventus,Lecce,1,0,H,0,0,D,14,2,5,0,14,15,5,1,2,5,0,1,1.5,4.2,7.0,1.5,4.2,6.75,1.5,4.2,7.0,1.52,4.31,7.27,1.4,3.9,6.5,1.44,4.1,8.0,1.52,4.26,7.26,2023-2024,Seria_A,Juventus,Lecce,1,0.725105135037251
2023-2024,Matchweek 6,Lazio,Torino,6.0,2,0,-0.4,-1.8,-0.8,1.6,114.2,-0.1,10,0.8,1.6,8,2.0,2.4,1,Serie_A,I1,2023-09-27,Lazio,Torino,2,0,H,0,0,D,6,7,3,2,12,13,4,2,1,4,0,0,2.15,3.25,3.5,2.1,3.3,3.6,2.2,3.3,3.45,2.17,3.37,3.7,2.0,3.0,3.4,2.1,3.13,3.75,2.31,3.27,3.54,2023-2024,Seria_A,Lazio,Torino,1,0.6343577074510712
2023-2024,Matchweek 6,Monza,Bologna,6.0,0,0,0.2,4.8,-0.8,2.0,2.6,0.3,15,1.0,1.6,10,1.2,1.8,0,Serie_A,I1,2023-09-28,Monza,Bologna,0,0,D,0,0,D,12,7,3,5,9,13,7,5,5,3,0,1,2.38,3.3,3.0,2.37,3.4,2.95,2.4,3.35,3.0,2.49,3.35,3.06,2.3,3.1,2.7,2.3,3.0,3.0,2.31,3.45,3.35,2023-2024,Seria_A,Monza,Bologna,0,0.3952487399635792
2023-2024,Matchweek 6,Napoli,Udinese,6.0,4,1,1.4,2.4,-0.4,2.6,163.4,0.6,5,1.6,2.4,17,0.6,0.4,1,Serie_A,I1,2023-09-27,Napoli,Udinese,4,1,H,2,0,H,23,13,10,3,11,10,8,4,1,1,0,0,1.36,5.0,8.5,1.35,5.25,8.25,1.4,4.9,7.5,1.39,5.16,8.46,1.29,4.6,7.5,1.33,4.8,9.5,1.43,5.07,7.42,2023-2024,Seria_A,Napoli,Udinese,1,0.7934213439771245
2023-2024,Matchweek 7,Atalanta,Juventus,7.0,0,0,0.4,-1.8,1.2,2.8,33.2,-0.3,3,2.0,2.4,3,2.0,1.8,0,Serie_A,I1,2023-10-01,Atalanta,Juventus,0,0,D,0,0,D,15,5,2,3,13,7,5,2,1,2,0,0,2.5,3.4,2.8,2.45,3.4,2.85,2.45,3.45,2.8,2.53,3.48,2.77,2.45,3.4,2.8,2.45,3.1,2.7,2.37,3.38,3.29,2023-2024,Seria_A,Atalanta,Juventus,1,0.5731144808532536
2023-2024,Matchweek 7,Bologna,Empoli,7.0,3,0,0.2,-2.2,1.2,1.0,78.6,-0.5,9,1.4,1.2,17,0.6,0.2,1,Serie_A,I1,2023-10-01,Bologna,Empoli,3,0,H,1,0,H,21,12,9,4,11,16,2,6,2,4,0,0,1.62,4.0,5.5,1.63,4.0,5.0,1.65,4.0,5.25,1.66,3.97,5.17,1.62,4.0,5.0,1.6,3.5,5.25,1.73,3.96,4.81,2023-2024,Seria_A,Bologna,Empoli,1,0.7312654594204366
2023-2024,Matchweek 7,Fiorentina,Cagliari,7.0,2,0,1.2,0.2,2.4,5.0,125.0,0.2,3,1.6,2.6,19,0.2,0.4,1,Serie_A,I1,2023-10-02,Fiorentina,Cagliari,3,0,H,2,0,H,14,6,2,4,10,10,4,2,1,1,0,0,1.5,4.2,7.0,1.47,4.5,6.75,1.47,4.5,6.75,1.48,4.17,6.98,1.44,4.4,7.0,1.44,3.9,7.0,1.59,4.08,6.48,2023-2024,Seria_A,Fiorentina,Cagliari,1,0.9302818825783205
2023-2024,Matchweek 7,Lecce,Napoli,7.0,0,5,-0.6,-8.2,-2.6,-1.6,-193.0,-1.4,7,1.6,2.0,3,1.6,1.2,0,Serie_A,I1,2023-09-30,Lecce,Napoli,0,4,A,0,1,A,9,15,4,6,11,11,3,7,3,2,0,0,4.75,3.8,1.75,4.4,3.7,1.78,4.6,3.75,1.75,4.84,3.9,1.76,4.8,3.75,1.7,4.8,3.7,1.73,4.97,3.77,1.79,2023-2024,Seria_A,Lecce,Napoli,0,0.2608849244345921
2023-2024,Matchweek 7,Milan,Lazio,7.0,2,0,1.0,1.4,1.6,-1.4,-47.2,0.8,1,2.4,3.0,15,1.4,1.8,1,Serie_A,I1,2023-09-30,Milan,Lazio,2,0,H,0,0,D,14,13,7,4,15,5,7,1,3,2,0,0,1.73,3.6,5.0,1.75,3.7,4.6,1.75,3.6,5.0,1.78,3.72,5.04,1.73,3.7,4.75,1.73,3.4,5.25,1.8,3.76,4.95,2023-2024,Seria_A,Milan,Lazio,1,0.9575464768686396
2023-2024,Matchweek 7,Roma,Frosinone,7.0,2,0,0.4,3.6,1.6,1.6,140.8,0.3,11,0.6,2.0,15,1.4,0.6,1,Serie_A,I1,2023-10-01,Roma,Frosinone,2,0,H,1,0,H,11,8,5,0,12,11,7,3,1,2,0,0,1.44,4.2,8.0,1.46,4.4,7.0,1.45,4.4,7.25,1.45,4.36,7.55,1.4,4.5,8.0,1.36,4.0,8.0,1.41,5.03,8.39,2023-2024,Seria_A,Roma,Frosinone,1,0.8004848856494359
2023-2024,Matchweek 7,Salernitana,Inter,7.0,0,4,-2.2,-2.6,-1.4,3.4,69.4,-1.1,19,0.4,1.6,1,2.4,2.4,0,Serie_A,I1,2023-09-30,Salernitana,Inter,0,4,A,0,0,D,12,16,3,6,12,10,3,3,2,1,0,0,8.0,4.75,1.4,7.25,4.75,1.42,7.5,4.8,1.4,8.16,4.81,1.43,7.5,4.75,1.4,8.0,4.8,1.36,7.89,4.96,1.43,2023-2024,Seria_A,Salernitana,Inter,0,0.05977085288611252
2023-2024,Matchweek 7,Sassuolo,Monza,7.0,0,1,1.2,-1.8,1.6,-5.0,-171.6,-0.1,11,1.8,1.2,11,1.2,0.8,0,Serie_A,I1,2023-10-02,Sassuolo,Monza,0,1,A,0,0,D,19,13,7,4,8,10,7,4,0,0,0,0,2.25,3.75,2.88,2.25,3.7,2.95,2.25,3.75,2.95,2.16,3.87,3.04,2.2,3.9,2.9,2.1,3.4,3.0,2.16,3.87,3.31,2023-2024,Seria_A,Sassuolo,Monza,1,0.6604394655775823
2023-2024,Matchweek 7,Torino,Hellas Verona,7.0,0,0,0.4,-1.0,0.4,-10.4,-67.2,0.3,7,1.8,1.6,14,0.8,0.6,0,Serie_A,I1,2023-10-02,Torino,Verona,0,0,D,0,0,D,8,5,2,2,6,11,10,1,1,1,0,0,1.85,3.5,4.33,1.93,3.3,4.2,1.9,3.4,4.4,1.83,3.37,4.73,1.85,3.4,4.4,1.83,3.0,4.5,1.76,3.47,5.81,2023-2024,Seria_A,Torino,Hellas Verona,1,0.823089484480875
2023-2024,Matchweek 7,Udinese,Genoa,7.0,1,2,-1.0,6.8,2.2,-3.8,67.2,0.5,17,0.6,0.2,9,1.4,0.6,0,Serie_A,I1,2023-10-01,Udinese,Genoa,2,2,D,1,2,A,11,8,2,4,12,12,5,0,2,2,1,0,2.38,3.1,3.2,2.3,3.2,3.2,2.4,3.15,3.2,2.38,3.07,3.35,2.3,3.2,3.2,2.25,2.88,3.25,2.25,3.28,3.66,2023-2024,Seria_A,Udinese,Genoa,0,0.41410777239746765
2023-2024,Matchweek 8,Cagliari,Roma,8.0,1,5,-1.8,-3.0,-2.2,-7.8,-198.8,-0.6,19,0.2,0.2,7,1.2,0.2,0,Serie_A,I1,2023-10-08,Cagliari,Roma,1,4,A,0,2,A,16,11,2,5,15,13,4,3,2,3,0,0,4.75,3.3,1.83,4.4,3.4,1.85,4.6,3.4,1.83,4.96,3.46,1.85,4.6,3.5,1.8,4.8,3.13,1.75,5.03,3.52,1.84,2023-2024,Seria_A,Cagliari,Roma,0,0.1329124222572446
2023-2024,Matchweek 8,Empoli,Udinese,8.0,0,0,0.0,-2.6,-1.0,-0.6,41.2,0.0,17,0.6,0.6,17,0.4,0.4,0,Serie_A,I1,2023-10-06,Empoli,Udinese,0,0,D,0,0,D,18,11,3,1,11,15,5,7,1,2,0,0,3.1,3.25,2.38,3.0,3.3,2.35,3.05,3.3,2.4,3.24,3.31,2.43,3.0,3.4,2.3,3.13,3.2,2.38,2.9,3.39,2.62,2023-2024,Seria_A,Empoli,Udinese,1,0.6581871580353418
2023-2024,Matchweek 8,Frosinone,Hellas Verona,8.0,2,2,0.8,-2.4,-0.4,-5.4,-115.6,0.8,15,1.2,1.2,14,0.4,0.8,0,Serie_A,I1,2023-10-08,Frosinone,Verona,2,1,H,1,0,H,11,16,2,4,9,12,2,4,1,4,0,0,2.35,3.3,3.1,2.3,3.3,3.1,2.35,3.3,3.1,2.45,3.22,3.23,2.3,3.3,3.1,2.3,2.9,3.1,2.24,3.46,3.48,2023-2024,Seria_A,Frosinone,Hellas Verona,1,0.5341931593625059
2023-2024,Matchweek 8,Genoa,Milan,8.0,0,1,-0.2,-3.6,-1.6,7.0,-215.0,-1.0,12,1.4,1.4,1,2.4,2.4,0,Serie_A,I1,2023-10-07,Genoa,Milan,0,1,A,0,0,D,7,12,1,3,10,13,3,2,3,5,1,1,4.2,3.5,1.91,3.8,3.5,1.95,4.0,3.5,1.95,4.24,3.57,1.95,4.0,3.5,1.91,4.33,3.25,1.93,4.5,3.44,1.96,2023-2024,Seria_A,Genoa,Milan,0,0.10146106481906876
2023-2024,Matchweek 8,Inter,Bologna,8.0,2,2,2.0,5.0,0.4,0.4,-73.6,1.0,2,2.4,2.4,10,1.8,1.8,0,Serie_A,I1,2023-10-07,Inter,Bologna,2,2,D,2,1,H,14,8,5,3,11,9,7,7,2,3,0,0,1.36,5.5,7.5,1.4,5.0,7.25,1.4,5.25,7.5,1.4,5.17,8.08,1.35,5.0,8.5,1.36,4.8,9.0,1.32,5.7,10.25,2023-2024,Seria_A,Inter,Bologna,1,0.8881642744951382
2023-2024,Matchweek 8,Juventus,Torino,8.0,2,0,0.2,1.0,0.2,3.2,-32.6,0.5,3,2.0,2.0,10,2.0,1.8,1,Serie_A,I1,2023-10-07,Juventus,Torino,2,0,H,0,0,D,17,10,6,1,10,8,7,3,1,1,0,0,1.91,3.3,4.33,1.93,3.2,4.33,1.95,3.3,4.3,1.94,3.39,4.58,1.85,3.4,4.5,1.91,3.13,4.6,2.07,3.2,4.39,2023-2024,Seria_A,Juventus,Torino,1,0.8868186378683521
2023-2024,Matchweek 8,Lazio,Atalanta,8.0,2,2,-0.4,-2.8,-1.6,-3.8,22.6,-0.5,15,1.4,1.6,5,2.0,1.4,0,Serie_A,I1,2023-10-08,Lazio,Atalanta,3,2,H,2,1,H,12,12,4,4,7,10,4,6,1,1,0,0,2.7,3.3,2.63,2.7,3.3,2.55,2.7,3.3,2.6,2.93,3.26,2.63,2.75,3.4,2.5,2.75,3.0,2.5,3.06,3.23,2.59,2023-2024,Seria_A,Lazio,Atalanta,0,0.259711291662645
2023-2024,Matchweek 8,Lecce,Sassuolo,8.0,1,1,-1.2,-5.8,-3.6,5.0,66.6,-0.5,7,1.4,1.8,12,1.8,1.2,0,Serie_A,I1,2023-10-06,Lecce,Sassuolo,1,1,D,0,1,A,13,14,4,1,9,15,5,3,2,3,0,0,2.55,3.4,2.7,2.5,3.4,2.7,2.6,3.45,2.7,2.6,3.56,2.8,2.5,3.5,2.7,2.55,3.3,2.75,2.74,3.45,2.72,2023-2024,Seria_A,Lecce,Sassuolo,1,0.8243711959018474
2023-2024,Matchweek 8,Monza,Salernitana,8.0,3,0,0.4,-0.6,-0.2,-4.8,-24.4,0.3,7,1.2,1.6,19,0.2,0.2,1,Serie_A,I1,2023-10-08,Monza,Salernitana,3,0,H,2,0,H,16,8,7,5,8,16,7,7,1,2,0,0,1.7,3.8,5.0,1.68,3.8,5.0,1.7,3.85,4.9,1.68,3.97,5.48,1.65,3.9,5.0,1.6,3.5,5.25,1.75,3.91,5.0,2023-2024,Seria_A,Monza,Salernitana,1,0.8876372457386569
2023-2024,Matchweek 8,Napoli,Fiorentina,8.0,1,3,0.8,4.4,1.4,2.4,68.2,1.1,6,1.6,2.4,3,2.0,2.0,0,Serie_A,I1,2023-10-08,Napoli,Fiorentina,1,3,A,1,1,D,16,12,4,3,4,14,6,4,2,4,0,0,1.6,4.2,5.5,1.6,4.2,5.0,1.6,4.2,5.25,1.62,4.26,5.6,1.57,4.2,5.5,1.53,3.75,5.5,1.6,4.53,5.54,2023-2024,Seria_A,Napoli,Fiorentina,0,0.330156834306631
2023-2024,Matchweek 9,Atalanta,Genoa,9.0,2,0,-0.2,3.4,1.0,-0.4,172.0,0.4,4,1.6,2.6,13,1.4,1.2,1,Serie_A,I1,2023-10-22,Atalanta,Genoa,2,0,H,0,0,D,13,15,8,4,17,9,8,4,4,2,0,0,1.55,3.8,6.5,1.55,3.9,6.25,1.55,4.0,6.5,1.56,4.19,6.61,1.5,4.2,6.5,1.45,3.7,7.0,1.54,4.4,6.56,2023-2024,Seria_A,Atalanta,Genoa,1,0.8185828989817152
2023-2024,Matchweek 9,Bologna,Frosinone,9.0,2,1,-0.6,-0.6,1.8,-2.2,50.8,-0.4,9,1.4,1.6,16,1.2,0.6,1,Serie_A,I1,2023-10-22,Bologna,Frosinone,2,1,H,2,0,H,12,12,6,5,10,14,4,5,2,2,0,1,1.73,3.75,5.0,1.72,3.7,4.8,1.73,3.75,4.8,1.76,3.86,4.95,1.73,3.75,4.75,1.67,3.4,4.8,1.74,3.92,5.1,2023-2024,Seria_A,Bologna,Frosinone,1,0.784611429297218
2023-2024,Matchweek 9,Fiorentina,Empoli,9.0,0,2,1.8,0.0,0.4,3.2,43.8,-0.2,5,2.6,2.6,17,0.8,0.2,0,Serie_A,I1,2023-10-23,Fiorentina,Empoli,0,2,A,0,1,A,19,7,7,3,13,17,13,3,1,3,0,0,1.44,4.33,8.0,1.44,4.8,6.5,1.43,4.8,7.0,1.43,4.89,7.67,1.4,4.8,7.5,1.36,4.33,7.5,1.43,4.89,7.69,2023-2024,Seria_A,Fiorentina,Empoli,1,0.7333558984751718
2023-2024,Matchweek 9,Hellas Verona,Napoli,9.0,1,3,-2.0,-0.6,-2.4,2.8,-27.2,-1.4,15,0.6,1.4,5,1.6,1.8,0,Serie_A,I1,2023-10-21,Verona,Napoli,1,3,A,0,2,A,15,22,9,10,12,9,5,8,3,2,0,0,5.5,3.75,1.65,5.25,3.9,1.63,5.5,3.9,1.65,5.71,3.96,1.66,5.5,3.9,1.6,5.75,3.75,1.62,5.86,4.18,1.62,2023-2024,Seria_A,Hellas Verona,Napoli,0,0.30616048338313234
2023-2024,Matchweek 9,Milan,Juventus,9.0,0,1,0.2,-1.6,0.0,0.2,83.4,0.0,2,2.4,3.0,3,2.0,2.0,0,Serie_A,I1,2023-10-22,Milan,Juventus,0,1,A,0,0,D,7,14,1,4,12,16,6,3,1,4,1,0,2.25,3.4,3.2,2.25,3.3,3.25,2.3,3.35,3.2,2.32,3.29,3.42,2.25,3.25,3.2,2.2,3.0,3.2,2.16,3.33,3.87,2023-2024,Seria_A,Milan,Juventus,1,0.6332905472077153
2023-2024,Matchweek 9,Roma,Monza,9.0,1,0,1.8,-3.2,0.8,5.6,34.4,0.1,7,1.8,2.4,10,1.8,0.8,1,Serie_A,I1,2023-10-22,Roma,Monza,1,0,H,0,0,D,21,11,4,4,11,11,8,5,2,4,0,1,1.7,3.6,5.25,1.68,3.8,5.0,1.7,3.75,4.9,1.74,3.87,5.08,1.67,3.8,5.0,1.65,3.4,5.0,1.76,3.8,5.1,2023-2024,Seria_A,Roma,Monza,1,0.7172725968174657
2023-2024,Matchweek 9,Salernitana,Cagliari,9.0,2,2,-0.2,2.6,1.8,6.2,142.4,-0.4,19,0.2,1.0,19,0.2,0.4,0,Serie_A,I1,2023-10-22,Salernitana,Cagliari,2,2,D,0,0,D,13,13,2,6,11,12,8,5,3,4,0,0,2.2,3.2,3.5,2.35,3.2,3.1,2.3,3.2,3.25,2.35,3.18,3.46,2.3,3.2,3.2,2.2,2.9,3.3,2.34,3.38,3.35,2023-2024,Seria_A,Salernitana,Cagliari,0,0.4910004958063494
2023-2024,Matchweek 9,Sassuolo,Lazio,9.0,0,2,0.4,5.4,2.2,-3.0,-128.8,0.5,13,1.4,1.2,11,1.0,1.2,0,Serie_A,I1,2023-10-21,Sassuolo,Lazio,0,2,A,0,2,A,9,18,2,6,6,10,5,7,1,5,0,0,2.7,3.5,2.5,2.65,3.7,2.45,2.7,3.6,2.5,2.71,3.72,2.57,2.7,3.7,2.4,2.75,3.4,2.5,2.87,3.56,2.55,2023-2024,Seria_A,Sassuolo,Lazio,1,0.6124110794300471
2023-2024,Matchweek 9,Torino,Inter,9.0,0,3,-1.6,-2.4,-1.2,0.2,-57.2,-0.5,11,1.4,1.6,1,2.0,2.4,0,Serie_A,I1,2023-10-21,Torino,Inter,0,3,A,0,0,D,7,14,3,4,13,8,2,4,1,2,0,0,5.5,3.6,1.7,4.75,3.6,1.75,4.9,3.7,1.73,5.39,3.72,1.74,5.0,3.7,1.7,5.0,3.6,1.73,5.47,3.81,1.72,2023-2024,Seria_A,Torino,Inter,0,0.16829429113140543
2023-2024,Matchweek 9,Udinese,Lecce,9.0,1,2,-0.2,3.6,0.2,-1.2,-28.6,0.3,18,0.4,0.2,7,1.0,1.2,0,Serie_A,I1,2023-10-23,Udinese,Lecce,1,1,D,0,0,D,12,12,6,1,11,15,2,7,3,5,0,0,2.2,3.3,3.4,2.15,3.3,3.4,2.2,3.25,3.4,2.21,3.19,3.81,2.15,3.3,3.4,2.1,3.0,3.5,2.16,3.24,3.9,2023-2024,Seria_A,Udinese,Lecce,0,0.28056972828957455
2023-2024,Matchweek 10,Cagliari,Frosinone,10.0,4,3,-0.2,2.0,0.8,-4.6,-39.6,0.0,18,0.2,0.2,16,0.6,0.4,1,Serie_A,I1,2023-10-29,Cagliari,Frosinone,4,3,H,0,2,A,24,10,6,6,8,7,5,7,1,4,0,0,2.3,3.3,3.2,2.3,3.4,2.95,2.35,3.35,3.05,2.37,3.42,3.2,2.25,3.4,3.1,2.25,3.0,3.1,2.19,3.46,3.54,2023-2024,Seria_A,Cagliari,Frosinone,1,0.5261109256508671
2023-2024,Matchweek 10,Empoli,Atalanta,10.0,0,3,-0.6,1.2,-0.4,3.8,-120.0,0.6,17,1.4,0.8,4,2.2,1.6,0,Serie_A,I1,2023-10-30,Empoli,Atalanta,0,3,A,0,2,A,9,18,2,6,10,13,3,6,4,0,0,0,5.25,3.75,1.67,4.8,3.9,1.68,4.9,3.9,1.7,5.03,4.08,1.7,4.8,3.9,1.67,5.0,3.5,1.62,5.06,4.15,1.67,2023-2024,Seria_A,Empoli,Atalanta,0,0.26780474228904666
2023-2024,Matchweek 10,Genoa,Salernitana,10.0,1,0,0.6,-4.2,-0.6,1.0,-123.2,-0.2,12,1.2,0.8,20,0.4,0.0,1,Serie_A,I1,2023-10-27,Genoa,Salernitana,1,0,H,1,0,H,8,7,4,2,11,19,7,0,3,4,0,0,1.73,3.6,5.25,1.72,3.6,5.0,1.73,3.6,5.0,1.76,3.72,5.17,1.7,3.6,5.0,1.73,3.6,5.0,1.75,3.69,5.29,2023-2024,Seria_A,Genoa,Salernitana,1,0.8309442307070415
2023-2024,Matchweek 10,Inter,Roma,10.0,1,0,0.2,1.0,-0.4,-4.2,46.2,-0.2,1,2.0,2.0,7,1.8,0.6,1,Serie_A,I1,2023-10-29,Inter,Roma,1,0,H,0,0,D,19,3,3,1,14,9,8,0,3,4,0,0,1.62,4.0,5.5,1.6,4.0,5.5,1.63,3.95,5.5,1.65,4.0,5.78,1.6,3.9,5.5,1.57,3.5,5.75,1.54,4.21,6.83,2023-2024,Seria_A,Inter,Roma,1,0.9009526635611182
2023-2024,Matchweek 10,Juventus,Hellas Verona,10.0,1,0,0.4,-2.8,-1.0,-7.4,-50.0,0.3,2,2.0,2.0,15,0.4,1.0,1,Serie_A,I1,2023-10-28,Juventus,Verona,1,0,H,0,0,D,30,7,6,1,13,8,5,1,3,2,0,0,1.36,5.0,8.0,1.36,4.8,8.75,1.35,5.0,8.75,1.36,5.17,9.54,1.33,4.8,10.0,1.33,4.75,10.5,1.41,4.84,8.69,2023-2024,Seria_A,Juventus,Hellas Verona,1,0.9268188657652363
2023-2024,Matchweek 10,Lazio,Fiorentina,10.0,1,0,-0.2,-2.8,-0.6,-3.2,-19.0,0.0,10,1.6,1.6,6,2.0,2.0,1,Serie_A,I1,2023-10-30,Lazio,Fiorentina,1,0,H,0,0,D,11,9,4,5,12,17,0,4,3,3,0,0,2.25,3.25,3.25,2.25,3.4,3.1,2.3,3.35,3.15,2.31,3.48,3.24,2.3,3.4,3.0,2.2,3.1,3.13,2.33,3.38,3.3,2023-2024,Seria_A,Lazio,Fiorentina,1,0.5087551360065533
2023-2024,Matchweek 10,Lecce,Torino,10.0,0,1,0.4,0.2,-1.0,4.2,-27.2,0.2,7,1.4,2.0,10,0.8,1.2,0,Serie_A,I1,2023-10-28,Lecce,Torino,0,1,A,0,1,A,11,10,6,2,17,19,3,0,3,5,0,0,2.75,3.0,2.8,2.65,3.0,2.8,2.75,3.05,2.8,2.8,3.03,2.94,2.75,3.0,2.75,2.75,2.88,2.88,2.79,2.93,3.05,2023-2024,Seria_A,Lecce,Torino,1,0.692874097437874
2023-2024,Matchweek 10,Monza,Udinese,10.0,1,1,0.4,-0.2,0.6,-1.4,109.6,-0.1,12,1.6,1.6,19,0.2,0.6,0,Serie_A,I1,2023-10-29,Monza,Udinese,1,1,D,1,0,H,10,10,4,3,15,11,10,3,2,1,0,0,2.0,3.6,3.6,2.05,3.5,3.5,2.05,3.55,3.5,2.14,3.54,3.58,2.05,3.5,3.5,2.0,3.13,3.5,2.13,3.53,3.64,2023-2024,Seria_A,Monza,Udinese,1,0.7120545224039914
2023-2024,Matchweek 10,Napoli,Milan,10.0,2,2,1.2,5.8,2.6,1.6,24.6,1.2,5,2.0,1.8,3,2.4,2.4,0,Serie_A,I1,2023-10-29,Napoli,Milan,2,2,D,0,2,A,17,20,4,6,14,10,6,4,4,3,1,0,2.2,3.4,3.3,2.2,3.4,3.2,2.25,3.4,3.25,2.3,3.37,3.38,2.15,3.3,3.4,2.15,3.1,3.25,2.27,3.43,3.39,2023-2024,Seria_A,Napoli,Milan,0,0.4395499866848073
2023-2024,Matchweek 10,Sassuolo,Bologna,10.0,1,1,-0.2,4.0,-0.4,-4.2,-61.0,0.0,14,1.4,1.2,7,1.8,1.4,0,Serie_A,I1,2023-10-28,Sassuolo,Bologna,1,1,D,1,1,D,17,9,6,5,11,10,6,2,1,4,0,0,2.6,3.4,2.63,2.55,3.5,2.6,2.6,3.5,2.6,2.76,3.41,2.69,2.6,3.4,2.6,2.7,3.5,2.5,2.58,3.46,2.85,2023-2024,Seria_A,Sassuolo,Bologna,0,0.43346548997812107
2023-2024,Matchweek 11,Atalanta,Inter,11.0,1,2,-0.6,-1.6,0.6,-0.4,-46.6,-0.5,4,2.2,2.6,1,2.0,3.0,0,Serie_A,I1,2023-11-04,Atalanta,Inter,1,2,A,0,1,A,14,10,4,4,13,9,6,1,4,1,1,0,3.3,3.5,2.15,3.2,3.5,2.15,3.2,3.5,2.2,3.46,3.47,2.19,3.25,3.4,2.1,3.5,3.3,2.15,3.62,3.48,2.15,2023-2024,Seria_A,Atalanta,Inter,0,0.24422168293640462
2023-2024,Matchweek 11,Bologna,Lazio,11.0,1,0,0.2,-0.4,1.2,1.4,38.6,0.0,6,1.8,2.0,12,2.0,1.2,1,Serie_A,I1,2023-11-03,Bologna,Lazio,1,0,H,0,0,D,6,11,2,1,12,8,2,6,2,5,0,0,2.63,3.2,2.75,2.7,3.1,2.75,2.7,3.15,2.75,2.76,3.17,2.86,2.6,3.1,2.7,2.7,3.0,2.8,2.76,3.08,2.95,2023-2024,Seria_A,Bologna,Lazio,1,0.8468621345487465
