Season,Round,Home Side,Away Side,round_num,home_Gls,away_Gls,goals_diff,shots_diff,SoT_diff,tackles_diff,touches_diff,xG_diff,home_side_rank,home_side_rolling_points,home_side_rolling_points_home,away_side_rank,away_side_rolling_points,away_side_rolling_points_away,win_loss,League,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA,Season_odds,League_odds,Home,Away,Predicted,Certainty
2023-2024,Matchweek 17,Burnley,Everton,17.0,0,2,-0.2,-3.8,-0.2,-2.2,56.8,-0.9,18,1.0,0.8,7,2.4,2.4,0,Premier_league,E0,2023-12-16,Burnley,Everton,0,2,A,0,2,A,14,9,2,6,9,8,8,6,0,1,0,0,3.6,3.4,2.1,3.4,3.4,2.1,3.45,3.4,2.15,3.66,3.44,2.13,3.3,3.5,2.05,3.5,3.25,2.1,3.28,3.57,2.26,2023-2024,Prem,Burnley,Everton,0,0.34002664935133453
2023-2024,Matchweek 17,Chelsea,Sheffield Utd,17.0,3,0,1.6,3.6,2.6,-3.2,126.8,0.8,8,1.4,1.8,20,0.6,0.0,1,Premier_league,E0,2023-12-16,Chelsea,Sheffield United,2,0,H,0,0,D,15,6,6,1,9,14,7,6,1,3,0,0,1.22,6.5,13.0,1.23,6.5,12.0,1.25,6.25,12.0,1.24,6.69,11.68,1.22,6.0,12.0,1.2,6.0,13.0,1.18,8.04,15.9,2023-2024,Prem,Chelsea,Sheffield Utd,1,0.8355656836269645
2023-2024,Matchweek 17,Liverpool,Manchester Utd,17.0,0,0,1.0,-0.4,3.2,-7.4,25.8,-0.7,2,2.2,2.6,10,1.4,2.4,0,Premier_league,E0,2023-12-17,Liverpool,Man United,0,0,D,0,0,D,34,6,8,1,13,8,12,0,2,4,0,1,1.3,6.0,8.0,1.31,6.0,8.25,1.33,6.0,7.75,1.32,5.99,8.37,1.25,6.0,8.5,1.29,5.75,8.5,1.33,6.1,8.5,2023-2024,Prem,Liverpool,Manchester Utd,1,0.8258404745617746
2023-2024,Matchweek 17,Manchester City,Crystal Palace,17.0,2,2,0.8,1.4,1.4,-2.8,72.4,0.3,5,0.8,2.0,15,0.2,1.4,0,Premier_league,E0,2023-12-16,Man City,Crystal Palace,2,2,D,1,0,H,19,5,9,2,12,9,6,1,1,1,0,0,1.18,8.0,13.0,1.18,7.75,15.0,1.2,7.25,15.0,1.17,7.98,15.35,1.14,7.5,15.0,1.14,7.0,17.0,1.18,7.6,20.24,2023-2024,Prem,Manchester City,Crystal Palace,1,0.8701099162977737
2023-2024,Matchweek 17,Newcastle Utd,Fulham,17.0,3,0,-2.8,-0.8,-3.0,-1.0,-162.0,-0.7,6,1.2,3.0,12,2.0,0.6,1,Premier_league,E0,2023-12-16,Newcastle,Fulham,3,0,H,0,0,D,27,6,10,4,7,12,5,1,0,2,0,1,1.8,3.8,4.0,1.85,3.8,3.9,1.85,3.85,3.95,1.87,3.94,4.04,1.8,3.9,3.8,1.8,3.7,4.0,1.92,3.83,4.07,2023-2024,Prem,Newcastle Utd,Fulham,1,0.8010535302123888
2023-2024,Matchweek 17,Nott'ham Forest,Tottenham,17.0,0,2,-1.2,-7.8,-4.0,-4.0,-194.8,-1.0,17,0.2,1.0,4,1.4,2.2,0,Premier_league,E0,2023-12-15,Nott'm Forest,Tottenham,0,2,A,0,1,A,15,12,1,6,16,11,6,4,2,4,0,1,4.2,4.2,1.73,4.4,4.0,1.72,4.3,4.1,1.73,4.51,4.14,1.76,4.4,4.0,1.67,4.6,4.0,1.73,5.14,4.19,1.68,2023-2024,Prem,Nott'ham Forest,Tottenham,0,0.21491593321913705
2023-2024,Matchweek 17,West Ham,Wolves,17.0,3,0,0.0,1.4,0.4,2.0,-40.6,0.2,11,1.6,1.6,16,1.0,0.8,1,Premier_league,E0,2023-12-17,West Ham,Wolves,3,0,H,2,0,H,13,14,4,3,12,15,6,6,3,1,0,0,2.15,3.5,3.3,2.2,3.5,3.2,2.15,3.5,3.3,2.12,3.62,3.5,2.1,3.5,3.2,2.1,3.3,3.4,1.9,3.65,4.34,2023-2024,Prem,West Ham,Wolves,1,0.7652409964052622
2023-2024,Matchweek 18,Aston Villa,Sheffield Utd,18.0,1,2,1.0,4.4,1.8,-2.8,47.2,0.4,1,2.6,3.0,20,0.6,0.0,0,Premier_league,E0,2023-12-22,Aston Villa,Sheffield United,1,1,D,0,0,D,12,5,4,2,11,16,9,1,3,3,0,0,1.22,6.5,12.0,1.25,6.5,10.5,1.22,6.5,12.0,1.24,6.98,11.3,1.22,6.0,11.0,1.22,6.5,12.0,1.22,7.3,12.5,2023-2024,Prem,Aston Villa,Sheffield Utd,1,0.9583276792678845
2023-2024,Matchweek 18,Crystal Palace,Brighton,18.0,1,1,-0.6,-5.6,-3.0,4.0,-215.0,-0.1,14,0.4,0.4,7,1.4,0.6,0,Premier_league,E0,2023-12-21,Crystal Palace,Brighton,1,1,D,1,0,H,11,18,3,6,12,11,3,1,5,2,0,0,3.3,3.3,2.15,3.25,3.5,2.15,3.3,3.45,2.2,3.4,3.47,2.22,3.2,3.6,2.05,3.25,3.3,2.15,3.23,3.37,2.38,2023-2024,Prem,Crystal Palace,Brighton,0,0.36810986921107447
2023-2024,Matchweek 18,Fulham,Burnley,18.0,0,2,2.4,1.0,3.0,3.2,151.2,1.2,13,2.0,2.4,18,1.0,0.2,0,Premier_league,E0,2023-12-23,Fulham,Burnley,0,2,A,0,0,D,19,7,5,2,5,17,8,6,2,1,0,0,1.67,3.75,5.25,1.66,4.0,5.0,1.7,3.85,4.9,1.7,3.96,5.12,1.67,3.8,4.75,1.65,3.7,5.0,1.71,3.93,5.24,2023-2024,Prem,Fulham,Burnley,1,0.6031292561832791
2023-2024,Matchweek 18,Liverpool,Arsenal,18.0,1,1,-0.2,0.4,0.6,-0.6,57.8,-0.6,1,1.8,2.2,1,2.4,1.2,0,Premier_league,E0,2023-12-23,Liverpool,Arsenal,1,1,D,1,1,D,13,13,3,2,13,14,4,5,2,5,0,0,2.38,3.6,2.8,2.35,3.6,2.8,2.45,3.6,2.75,2.47,3.63,2.84,2.3,3.6,2.75,2.3,3.4,2.8,2.52,3.66,2.8,2023-2024,Prem,Liverpool,Arsenal,1,0.7748211377143784
2023-2024,Matchweek 18,Luton Town,Newcastle Utd,18.0,1,0,0.2,-10.4,-2.2,1.4,-223.2,-1.5,18,0.6,0.8,6,1.8,0.4,1,Premier_league,E0,2023-12-23,Luton,Newcastle,1,0,H,1,0,H,16,15,5,2,11,5,6,7,2,1,0,0,4.75,4.2,1.65,5.0,4.1,1.62,4.9,4.1,1.65,4.91,4.36,1.65,4.8,4.0,1.62,5.25,3.8,1.62,5.32,4.12,1.67,2023-2024,Prem,Luton Town,Newcastle Utd,0,0.24544816028444771
2023-2024,Matchweek 18,Manchester City,Brentford,18.0,1,0,0.2,1.4,2.0,-7.2,179.8,-0.3,5,1.0,1.6,14,0.6,0.6,1,Premier_league,E0,2024-02-20,Man City,Brentford,1,0,H,0,0,D,25,6,11,2,12,6,10,1,2,4,0,0,1.18,8.0,13.0,1.19,7.75,13.5,,,,1.17,8.67,15.04,1.15,7.0,15.0,1.15,8.0,17.0,1.18,8.5,15.0,2023-2024,Prem,Manchester City,Brentford,1,0.7907897034651606
2023-2024,Matchweek 18,Nott'ham Forest,Bournemouth,18.0,2,3,-2.2,-5.2,-5.0,0.2,11.4,-1.1,17,0.2,0.8,12,2.6,1.8,0,Premier_league,E0,2023-12-23,Nott'm Forest,Bournemouth,2,3,A,0,0,D,11,18,5,7,10,10,6,6,0,3,1,0,2.75,3.4,2.55,2.8,3.4,2.45,2.75,3.45,2.5,2.74,3.52,2.61,2.7,3.5,2.38,2.7,3.3,2.5,2.94,3.45,2.52,2023-2024,Prem,Nott'ham Forest,Bournemouth,1,0.7122472661698886
2023-2024,Matchweek 18,Tottenham,Everton,18.0,2,1,0.6,4.2,2.6,3.2,277.8,0.4,4,1.8,1.2,7,2.4,2.4,1,Premier_league,E0,2023-12-23,Tottenham,Everton,2,1,H,2,0,H,13,18,6,8,6,18,3,8,1,4,0,0,1.75,4.2,4.0,1.8,4.0,3.9,1.8,4.1,4.0,1.8,4.29,4.05,1.73,4.0,4.0,1.73,3.9,4.2,1.7,4.29,4.76,2023-2024,Prem,Tottenham,Everton,1,0.8901534198819779
2023-2024,Matchweek 18,West Ham,Manchester Utd,18.0,2,0,0.4,-3.8,0.8,-2.2,-32.4,-0.4,7,1.6,1.6,11,1.0,2.0,1,Premier_league,E0,2023-12-23,West Ham,Man United,2,0,H,0,0,D,12,11,5,3,13,15,4,4,2,3,0,0,2.6,3.6,2.6,2.55,3.6,2.55,2.55,3.6,2.6,2.65,3.65,2.62,2.5,3.6,2.5,2.63,3.5,2.6,2.1,3.89,3.39,2023-2024,Prem,West Ham,Manchester Utd,1,0.7786257071901002
2023-2024,Matchweek 18,Wolves,Chelsea,18.0,2,1,-0.8,-5.6,-1.4,-2.4,-89.4,-1.1,16,0.8,1.4,10,1.4,1.4,1,Premier_league,E0,2023-12-24,Wolves,Chelsea,2,1,H,0,0,D,14,16,6,5,11,9,10,6,3,5,0,0,3.75,3.75,1.91,3.6,3.6,1.98,3.7,3.7,1.95,3.77,3.76,1.99,3.6,3.6,1.91,3.7,3.5,1.93,3.34,3.65,2.2,2023-2024,Prem,Wolves,Chelsea,0,0.45773616566306013
2023-2024,Matchweek 19,Arsenal,West Ham,19.0,0,2,0.2,7.8,1.2,1.4,117.6,0.5,3,2.0,3.0,6,2.0,0.8,0,Premier_league,E0,2023-12-28,Arsenal,West Ham,0,2,A,0,1,A,30,6,8,3,8,8,10,3,2,0,0,0,1.33,5.5,7.5,1.33,5.5,9.0,1.35,5.25,8.0,1.36,5.49,8.28,1.3,5.5,8.0,1.3,5.0,9.0,1.29,6.09,10.81,2023-2024,Prem,Arsenal,West Ham,1,0.7752920560027508
2023-2024,Matchweek 19,Bournemouth,Fulham,19.0,3,0,-0.2,0.4,-0.6,-1.2,-201.6,0.1,11,2.6,2.0,13,1.4,0.4,1,Premier_league,E0,2023-12-26,Bournemouth,Fulham,3,0,H,1,0,H,16,8,4,3,10,10,6,5,0,2,0,0,2.15,3.6,3.2,2.2,3.5,3.1,2.2,3.6,3.15,2.22,3.69,3.2,2.15,3.5,3.1,2.15,3.5,3.13,1.92,3.9,3.97,2023-2024,Prem,Bournemouth,Fulham,1,0.5715244272675674
