Round,round_num,home_Gls,Away_Gls,goals_difference,shots_difference,SoT_difference,tackles_difference,touches_difference,xG_difference,home_side_rank,away_side_rank,rolling_points_difference,rolling_points_home_difference,rolling_points_away_difference
Matchweek 27,27,3,1,-0.4,-6,-1.6,3.2,-152.6,-0.8,10,19,0.19999999999999996,0,0.79999999999999993
Matchweek 28,28,5,1,0.4,1,0.4,-0.6,58.4,0.3,6,12,1,1.2,0.2
Matchweek 28,28,0,3,0.6,4.8,0.4,-2.2,-138.2,0.6,17,9,0.39999999999999991,-0.39999999999999991,-0.59999999999999987
Matchweek 28,28,1,0,-0.2,-1.2,0.2,5,57.2,0,5,3,-1.2,0.19999999999999996,-0.59999999999999987
Matchweek 28,28,1,3,0.6,-1,-1.6,8.4,-118.6,0,12,4,-0.60000000000000009,-1.6,-1.6
Matchweek 28,28,1,0,-2.2,-5.8,-2.8,-0.4,19.4,-1.1,20,8,-2.2,-1.8,-1.4000000000000001
Matchweek 28,28,2,1,0.2,4.4,1.6,-0.4,9.6,0.6,10,15,0,-0.4,0.79999999999999993
Matchweek 28,28,5,0,0.4,5,3,-1.6,308.6,0.3,1,7,0.19999999999999996,1.6,0
Matchweek 28,28,1,0,2,4.4,4,-2.2,233.8,1.1,2,11,1.4,1,0.39999999999999991
Matchweek 28,28,2,0,0,3.6,0.8,5.8,84,-0.3,12,15,0.19999999999999996,0.39999999999999991,-0.8
Matchweek 28,28,2,0,-0.2,-1.8,0.6,4.8,-68.2,-0.8,17,19,0,-0.99999999999999989,1.2000000000000002
Matchweek 29,29,0,1,-1.4,-6.2,-3.4,0,-258,-1.5,14,1,-1.5999999999999999,-0.39999999999999991,-1.8
Matchweek 29,29,1,0,0.4,3.8,1.2,-5.2,-54.8,0.3,13,20,-0.39999999999999997,1,0.39999999999999997
Matchweek 29,29,1,2,-0.2,-5.8,0.2,-5,-68,-0.3,16,12,0,0.60000000000000009,-0.39999999999999991
Matchweek 29,29,0,0,-1,-3.8,-2.2,2.8,-229.6,-0.4,9,2,-0.60000000000000009,-2,-0.20000000000000018
Matchweek 29,29,1,2,-0.8,-0.8,-0.6,-7,-68.8,0.2,19,5,-1.2000000000000002,-0.60000000000000009,-0.79999999999999993
Matchweek 29,29,3,2,0.8,2,1,-5.4,46.6,0.3,3,17,1.2000000000000002,1.8000000000000003,1.4
Matchweek 29,29,1,1,-1,4.2,-0.8,3.6,56.4,-0.5,3,6,-0.59999999999999987,-1.2,1.5999999999999999
Matchweek 29,29,2,1,0.4,-9.8,-2.2,6.4,-40.4,-0.9,7,10,0.59999999999999987,1,0.60000000000000009
Matchweek 29,29,2,0,-0.4,-4.4,-2,0.6,-43.6,-0.1,10,14,-1,-0.60000000000000009,0.4
Matchweek 29,29,2,0,0.4,0.2,0.4,-0.6,192.2,0.2,8,17,0.40000000000000013,0.59999999999999987,0.20000000000000018
Matchweek 30,30,2,0,0.2,-1.8,-1,-0.8,15.6,0.5,6,3,-0.60000000000000009,0.79999999999999982,-2.2
Matchweek 30,30,2,0,-0.4,1.6,0.8,0,-80.6,-0.1,17,11,-0.40000000000000013,-0.59999999999999987,1.2
Matchweek 30,30,1,1,0.8,4.8,1.2,3.4,137.2,-0.1,5,7,0.79999999999999982,1.2000000000000002,-0.19999999999999996
Matchweek 30,30,1,2,1.4,1.6,1,3.6,-69.2,0.8,13,12,1.2,-0.19999999999999996,1.4
Matchweek 30,30,0,1,0,2.2,1.4,2.2,82.2,0.1,20,13,0.39999999999999997,-1.4,0.2
Matchweek 30,30,3,1,0.6,7.8,1.4,-2.2,-17.6,0.5,10,19,0.6,-0.79999999999999993,1.2
Matchweek 30,30,4,2,0.4,1,2,3.2,253.4,-0.6,2,16,0.40000000000000013,1,0
Matchweek 30,30,3,1,1,11,3.8,-7.4,267,1.6,1,7,1,1.4,0.40000000000000013
Matchweek 30,30,3,2,0.2,6.2,1.2,-1.2,0.8,0.5,13,9,0.59999999999999987,1.7999999999999998,-0.99999999999999989
Matchweek 30,30,2,1,0,-2.6,1.2,2.8,-189.4,-0.4,17,3,-0.59999999999999987,-0.8,-0.19999999999999996
Matchweek 31,31,2,2,-1,-9.8,-3.4,-2.4,-146.4,-0.5,13,13,-1.2,-1,-0.4
Matchweek 31,31,0,2,0,-3.2,-1.6,-5.2,102,-1.4,12,16,0,0.59999999999999987,-0.6
Matchweek 31,31,1,2,0,-9.2,-2,1.8,-173,-0.3,17,10,0,1,0.8
Matchweek 31,31,2,0,-0.4,-8.6,-1.4,0.2,-210,-0.6,9,5,-1.2,-1.8,0.19999999999999996
Matchweek 31,31,1,2,-1.8,-4.8,-1.6,-0.8,-135.6,-0.8,19,2,-2.2,-1.4000000000000001,-1
Matchweek 31,31,0,2,-0.8,-5.6,-2,3.4,-258.8,-1.3,4,1,-1,-0.79999999999999982,0.60000000000000009
Matchweek 31,31,2,0,-0.6,-1.6,0.2,-2.2,78.6,-0.5,3,15,-0.59999999999999987,1.2,-0.19999999999999996
Matchweek 31,31,1,1,0.4,-5.2,-0.6,1.8,36.6,-0.2,8,17,0.60000000000000009,0.60000000000000009,0.39999999999999991
Matchweek 31,31,4,3,0.8,-1.4,-0.2,1.4,-36.8,0.4,11,20,0.79999999999999993,1.4,0
Matchweek 31,31,3,1,-1.4,-1,-0.8,6.2,6.6,-0.6,7,6,-1.4000000000000001,-1,0.59999999999999987
Matchweek 32,32,2,0,0.4,-5.8,-2.4,-6.2,61.4,0.1,6,14,0,0.60000000000000009,0.4
Matchweek 32,32,0,1,-0.6,-1.6,-2,-2.2,100.6,-0.5,13,16,-0.19999999999999996,-0.19999999999999996,-0.4
Matchweek 32,32,1,0,-0.2,2.6,0.6,-3.6,-26.2,0,16,7,-1,-1,0.60000000000000009
Matchweek 32,32,1,2,-0.4,-3.8,-0.4,2.8,-350.2,0.7,18,5,-0.8,-1.2000000000000002,0.6
Matchweek 32,32,2,0,0.8,0.8,0,1.4,-40,0.4,12,20,0.6,0.20000000000000007,1.8
Matchweek 32,32,0,2,-1,-7.4,-2,6,-270.8,-1.4,19,1,-3,-2.4,-2.1999999999999997
Matchweek 32,32,2,0,0.8,10.4,2.6,-0.2,147.6,0.1,9,14,0.8,-0.19999999999999996,0.20000000000000007
Matchweek 32,32,1,1,1.2,-0.8,0.2,1.2,24.6,0.7,2,3,1.4000000000000001,0.60000000000000009,0
Matchweek 32,32,2,1,-0.6,4,-0.6,-1.4,-14.8,0.3,4,9,0,0,2.2
Matchweek 32,32,0,2,0.4,1.6,-1,2.2,80,0.3,11,8,0.40000000000000013,1.8,-1.2
Matchweek 33,33,0,3,-0.2,-3.4,-0.6,-4,-49.4,-0.2,15,13,0.20000000000000007,0.60000000000000009,-0.4
Matchweek 33,33,2,0,0,11.2,2.8,-2.6,191.2,0.3,5,11,0.8,0,0.39999999999999997
Matchweek 33,33,1,0,-0.4,0.4,2.4,3.8,-110.6,-0.4,7,6,0,-1.6,0.59999999999999987
Matchweek 33,33,1,4,-1.2,-3.6,-0.6,2.8,-51,-0.5,20,8,-1.7999999999999998,-0.6,-0.60000000000000009
Matchweek 33,33,2,0,0.8,6.6,3,-11,421.6,0.6,1,18,1.8,1.6,1.2
Matchweek 33,33,0,1,0.2,-0.2,0.6,1.6,-27.8,-0.1,15,11,0.19999999999999996,2.2,-0.99999999999999989
Matchweek 33,33,1,3,-0.8,-6.6,-1.8,-1.8,-261.2,-1,17,2,-0.20000000000000018,-1,-0.8
Matchweek 33,33,1,0,0.2,4,2,0.6,88,0.6,3,13,-0.19999999999999996,1.8,0.6
Matchweek 33,33,4,1,0.4,0.8,1.4,-1.8,-7.2,0.2,8,19,0.8,1.2000000000000002,0.60000000000000009
Matchweek 33,33,1,1,-0.4,-4.2,-1.6,5.2,-32.2,-0.4,8,4,-0.40000000000000013,1,-1.4
Matchweek 34,34,0,4,0,2.2,0.2,5.6,43.6,-0.5,16,14,0.39999999999999991,-0.8,0
Matchweek 34,34,2,0,0.6,-2,-1.4,-4.8,84.2,-0.5,13,18,0,0,-0.19999999999999996
Matchweek 34,34,1,3,-0.8,-10.4,-5.4,7.4,-278.8,-0.9,11,1,-1.2,-1.6,-1
Matchweek 34,34,2,0,-0.6,-4.2,-2.2,0.8,14,-0.8,19,7,-2,-0.79999999999999993,-1.6
Matchweek 34,34,0,1,1.4,1.6,1.6,-4.6,86.8,0.6,8,14,1.5999999999999999,-1.2,0.4
Matchweek 34,34,2,0,0.6,-3.4,-1.4,3,-100.6,0.7,2,5,0.20000000000000018,-0.39999999999999991,0.60000000000000009
Matchweek 34,34,2,1,0,5.2,2,-7.6,-15.8,0.8,4,11,0.19999999999999996,-1,2.1999999999999997
Matchweek 34,34,3,1,0,0.6,0.2,-5,-143,-0.3,16,8,-0.20000000000000018,-1.2000000000000002,0
Matchweek 34,34,4,0,0.4,7.6,1.2,-2,164.4,0.5,3,20,1.6,2,1.2
Matchweek 34,34,0,1,0.6,2.4,3.2,0.2,-98.2,-0.3,8,6,0,-0.79999999999999982,0
Matchweek 35,35,2,3,0.2,2.2,0.4,-5.6,156.2,0.1,6,11,0.60000000000000009,1.6,-1.2
Matchweek 35,35,0,1,0.4,-0.4,-1,-6.6,-4.2,0.5,15,19,0.79999999999999993,0.4,0.6
Matchweek 35,35,0,2,-1.4,-4.8,-1.4,1.6,-311.2,-0.6,18,2,-1.4000000000000001,-1.0000000000000002,-0.60000000000000009
Matchweek 35,35,2,2,-0.8,7.4,1.8,1.2,255.4,0.3,5,14,-0.40000000000000013,1.2000000000000002,-0.19999999999999996
Matchweek 35,35,4,0,0.4,1.2,2,4,-4.6,0.1,7,4,0.40000000000000013,-0.20000000000000018,-0.19999999999999996
Matchweek 35,35,1,2,-0.6,-1.6,-1.4,0,-18.8,0,20,8,-0.8,-1.6,-0.8
Matchweek 35,35,1,0,0.6,-1.2,2,-2.2,73.6,0.8,1,3,1,0.39999999999999991,1.5999999999999999
Matchweek 35,35,3,1,-0.4,2.6,0.8,5.6,99.8,-0.5,12,17,-0.60000000000000009,1,-0.6
Matchweek 35,35,2,2,-1.2,-4.8,-3.8,4.2,-54.6,-1,12,9,-1.7999999999999998,0.19999999999999996,-1.2
Matchweek 35,35,0,0,0.8,1.4,0.6,1.8,50.8,0.6,9,16,0.4,1.4000000000000001,0.4
Matchweek 36,36,1,1,-1.2,-3.2,-3.2,-2.4,20,-0.5,16,13,-1.2,-1.7999999999999998,-0.4
Matchweek 36,36,0,1,-0.2,-9.2,-3.4,-1.6,-345.4,-0.8,14,1,-1,-1.2,-1.6
Matchweek 36,36,0,0,-0.4,-6,-3.2,-0.8,-68.2,-0.7,11,7,-0.59999999999999987,-0.59999999999999987,0.8
Matchweek 36,36,1,0,0.4,2,1,-0.6,155.8,0.8,19,18,0.6,-0.6,-1.2
Matchweek 36,36,3,0,0.8,2.6,2,3.2,-103.8,0.4,8,6,0.8,-1.2,0
Matchweek 36,36,5,0,1,3.4,1.6,1,216,0.9,2,20,2.6,2,1.8
Matchweek 36,36,1,1,-0.2,-5,-2.6,-2.4,-147.8,-0.2,4,5,0,-0.60000000000000009,0.8
Matchweek 36,36,3,3,0.2,1.2,0.8,-0.6,-116,0,17,15,0.59999999999999987,0.8,-0.19999999999999996
Matchweek 36,36,0,1,0.2,9.2,2.8,-2,142.6,0.7,3,11,1.2,0.60000000000000009,0.60000000000000009
Matchweek 36,36,1,2,0.6,0.8,2.8,0.2,-77,-0.4,10,8,0.39999999999999991,-0.20000000000000018,0.4
Matchweek 37,37,1,1,0.8,1.8,2.2,-2.2,162.8,0.6,6,16,0.79999999999999993,1.7999999999999998,0.59999999999999987
Matchweek 37,37,1,0,0.2,-8.2,-0.8,-1.8,-145.8,0.3,13,3,-0.59999999999999987,-2.2,1
Matchweek 37,37,1,3,-1.2,-0.4,0.8,-0.8,-108,-0.4,18,11,-2,-0.20000000000000007,-1.2
Matchweek 37,37,3,0,-0.2,2.8,0,0.2,92.4,0.4,5,10,0.40000000000000013,0.20000000000000018,0
Matchweek 37,37,1,0,-0.2,9.6,2.6,7,197.4,0.6,7,15,0,0.19999999999999996,-0.19999999999999996
Matchweek 37,37,1,1,-0.8,-0.6,-0.6,0.8,-87.4,-0.5,20,4,-1.6,-1.4,-1.4
Matchweek 37,37,1,0,-0.4,5.8,0,-2.8,82.6,0.4,1,9,1,1.2,1.6
Matchweek 37,37,2,3,-1.6,-5.4,-2,3.8,-225.2,-1.3,13,2,-1.2000000000000002,-0.20000000000000018,-1.2000000000000002
Matchweek 37,37,1,0,-1,-2.8,-1,5.4,100,-0.9,11,17,-0.59999999999999987,0.19999999999999996,-0.60000000000000009
Matchweek 37,37,1,0,-0.2,2,-1,-2.2,81,0.3,8,19,-0.8,1.2000000000000002,-0.19999999999999996
Matchweek 38,38,1,4,-1.2,-13.6,-4.8,3.2,-325.6,-1.5,16,1,-2.4,-2.2,-2.2
Matchweek 38,38,1,3,0.6,-4.8,-1,0.2,-233.4,-0.4,15,6,0.59999999999999987,-1.2,0.59999999999999987
Matchweek 38,38,4,3,0,-0.6,-0.6,3.4,-74.4,-1,11,14,0.60000000000000009,0.4,1
Matchweek 38,38,0,4,-0.4,-1.6,-0.4,-1.8,135,0.1,19,13,0.40000000000000013,-1.2,-0.4
Matchweek 38,38,0,0,0.2,-1.6,0.4,0.6,27,0.1,9,4,-0.20000000000000018,0.19999999999999973,0
Matchweek 38,38,2,0,2,0.2,2,-1.8,130.8,0.2,2,8,1.4,0.8,1.4000000000000001
Matchweek 38,38,0,2,0.8,1.8,-0.8,-2.4,233.6,0.4,4,18,1.2,1.4,0.79999999999999993
Matchweek 38,38,1,1,1,5.6,1.4,-1,-10.6,0.8,17,20,0.60000000000000009,1.4,0.8
Matchweek 38,38,2,2,-0.2,-0.6,-0.2,-2.4,69.4,-0.2,3,7,-0.8,0,-1.2
Matchweek 38,38,1,3,0.4,0.6,0.2,-3.4,-3.8,0.2,10,11,-0.19999999999999996,-0.60000000000000009,0.6
Matchweek 6,6,3,2,0.8,2,1,-2.2,141.8,0.1,3,19,0.8,0.10000000000000009,1.8
Matchweek 6,6,2,0,-0.6,1.4,-1.8,1.4,-151.8,-0.2,8,15,-0.19999999999999996,-0.30000000000000004,1
Matchweek 6,6,1,2,-0.4,-1.4,-0.2,6,-25.2,-0.3,6,1,-1,-0.79999999999999982,-2
Matchweek 6,6,0,1,-0.4,0,1.2,3,-103.6,-0.4,11,15,0.79999999999999993,0.20000000000000018,1.5999999999999999
Matchweek 6,6,0,1,0.2,1.8,0.4,1.2,39.8,-0.2,11,11,0.59999999999999987,1.5,0.099999999999999978
Matchweek 6,6,2,1,-0.8,-3.2,-1.6,6.6,-153.2,-0.4,3,8,0,0.20000000000000018,1
Matchweek 6,6,8,0,2.4,3.2,3.4,-3,165.8,1,2,20,1.6,2.6,2.2
Matchweek 6,6,0,0,0,-0.6,-0.2,-2.6,-128.2,-0.5,18,15,-0.19999999999999996,0.4,1
Matchweek 6,6,1,3,-0.6,0.8,-0.4,3.6,72,0.1,11,6,0,0.39999999999999991,-0.19999999999999996
Matchweek 6,6,2,0,-0.4,-2,0.6,4,-109.4,-0.1,3,8,0,0,1.2
Matchweek 7,7,2,2,0,0.8,1.8,1,83.8,-0.1,18,10,-0.19999999999999996,0.10000000000000009,-0.6
Matchweek 7,7,2,2,0.4,-2.8,-1,-8.4,-101.6,-0.1,7,5,-0.40000000000000013,0,-0.80000000000000027
Matchweek 7,7,2,0,2,2.8,2.2,2.4,42.8,0.5,4,16,1.4,1.2000000000000002,-0.19999999999999996
Matchweek 7,7,2,0,-1,2,0.2,4.8,-85.4,-0.4,9,16,0,0.10000000000000009,2.4
Matchweek 7,7,1,3,-2.8,-9,-4.4,2,-186.4,-2,13,2,-0.8,-0.20000000000000018,-1.7999999999999998
Matchweek 7,7,4,0,0.8,2,0.8,7.8,161.8,0.2,3,18,1,1.4000000000000001,0.20000000000000018
Matchweek 7,7,1,1,-1.2,-1.8,-2,1.4,44.6,0,10,5,-0.60000000000000009,-0.20000000000000018,-0.59999999999999987
Matchweek 7,7,0,1,-1.6,-6.6,-3.2,4,-184.6,-0.6,13,1,-1.8,-2,-2.5
Matchweek 7,7,2,1,0.4,-3,0,-7.2,165.6,-0.8,7,13,-0.39999999999999991,0.19999999999999996,-0.6
Matchweek 7,7,1,0,0.4,-5,-1,0.4,41.8,-0.1,10,20,0.6,1.2,0
Matchweek 8,8,1,0,-0.2,4.4,0.4,5.6,87.6,0.2,4,10,-0.19999999999999996,0.20000000000000018,0
Matchweek 8,8,3,0,-1.4,-1.4,-2.2,1.2,-100.6,-0.2,12,10,-0.99999999999999989,-0.79999999999999993,0.79999999999999993
Matchweek 8,8,1,0,0.2,-4,-1.2,-3.6,-176,-0.2,7,17,0.6,-1.2,0
Matchweek 8,8,2,1,0,3.8,0.6,-8.2,82,0.6,1,5,0.60000000000000009,0.79999999999999982,2
Matchweek 8,8,0,2,2.8,10,4.2,-4.4,181.8,1.5,2,7,1,1.4000000000000001,1
Matchweek 8,8,1,0,-0.2,-6.6,-1.8,1.2,-170.2,-0.9,14,12,0,-0.39999999999999991,0.79999999999999993
Matchweek 8,8,1,5,-0.2,-3,-1.2,-0.4,96.4,0.1,19,14,-0.4,0.7,0
Matchweek 8,8,1,4,-1.4,-3,-1.2,6.2,-53.2,-0.5,17,2,-1,-1,-0.40000000000000013
Matchweek 8,8,0,0,0.2,8,2.6,-0.6,105.2,0.6,20,14,-0.19999999999999996,-0.8,-0.5
Matchweek 8,8,1,2,0.8,1.2,1.8,1.2,67,0.5,7,6,0.40000000000000013,0.39999999999999991,0.40000000000000013
Matchweek 9,9,2,1,1,2,3,-1.8,-149.4,0.1,12,16,0,0.70000000000000007,-1
Matchweek 9,9,0,0,1,-1.4,0.4,-5,-65.6,-0.3,8,19,0.79999999999999993,-0.39999999999999991,1.4
Matchweek 9,9,1,0,2.2,6,3.4,2,249,1.7,2,17,1.4,1,0.40000000000000013
Matchweek 9,9,0,2,-2.4,-7.6,-3,1.8,-238.4,-1.4,6,2,0,-0.60000000000000009,-0.59999999999999987
Matchweek 9,9,2,0,-0.4,0.8,-0.2,-5.6,-4.6,0.3,14,8,-1,-0.19999999999999996,-1.2000000000000002
Matchweek 9,9,2,1,0.8,1.8,1.4,8.6,218.6,0,4,8,0.19999999999999996,1.0000000000000002,0.4
Matchweek 9,9,1,1,-1.4,-1.6,-1.4,2.6,-116.4,-0.9,14,1,-2,-1.6,-2.4
Matchweek 9,9,1,0,-1.4,-5.6,-2.4,-2.6,-36.6,-0.7,12,5,-1,-0.8,-0.30000000000000004
Matchweek 9,9,1,1,1,-3.2,0.2,4,82,-0.3,8,20,0.79999999999999993,1.8,0.2
Matchweek 9,9,1,1,0.4,-5,-1,-4.2,-128.6,-0.1,6,17,1,1,0.19999999999999996
Matchweek 10,10,2,2,0.6,1.4,0.6,0.8,68.4,0.2,5,6,0.40000000000000013,0.20000000000000018,-0.19999999999999996
Matchweek 10,10,2,1,0.2,0.4,-1.6,1.8,87.6,-0.3,11,16,0.4,-0.8,0.6
Matchweek 10,10,2,4,-1.2,-5.6,-2.8,-4.2,-249.8,-1,11,2,-0.79999999999999982,-0.19999999999999996,-1.4
Matchweek 10,10,2,1,0.4,3.4,1.6,-4.4,17,1.1,1,11,1.2000000000000002,1,2.6
Matchweek 10,10,3,0,0.8,5,0.4,-0.4,287.2,1.1,2,15,0.19999999999999996,0.7,1.5999999999999999
Matchweek 10,10,1,1,-0.8,-0.2,-1,-3.8,-138.4,-0.9,17,6,-1.2,-0.60000000000000009,-0.19999999999999996
Matchweek 10,10,1,3,0.2,1.2,-0.4,3.6,23.4,0.3,19,8,-0.19999999999999996,0.10000000000000009,-0.6
Matchweek 10,10,0,9,-0.8,3,1.2,-0.6,-20.8,0.8,18,4,-1,-1.8000000000000003,0.39999999999999991
Matchweek 10,10,0,0,-1,2.2,0.8,3.6,13.6,0.2,20,8,-1,-1.2000000000000002,-1
Matchweek 10,10,1,1,0.6,1.6,1.8,1.8,67.8,0.1,8,11,-0.39999999999999991,1,0.5
Matchweek 11,11,1,1,0.2,4.8,1.6,-1.4,34.8,0.3,5,7,-0.60000000000000009,0.60000000000000009,0
Matchweek 11,11,1,2,0.6,3.4,1.2,-2.6,-204.2,0,17,1,-1.2000000000000002,-1.4,-1.8
Matchweek 11,11,1,0,0,-1.6,-0.8,-2.2,-30.4,-0.5,6,11,0.19999999999999996,-0.19999999999999996,0.19999999999999996
Matchweek 11,11,2,0,0.8,1.2,0.6,-2,50.8,0.2,7,19,1.2,0.10000000000000009,0.8
Matchweek 11,11,0,2,-2.4,-5,-3.4,-6.4,-184.6,-0.2,10,4,-1,-0.80000000000000027,0.40000000000000013
Matchweek 11,11,2,1,-0.2,3.4,2.2,-4.6,-113.8,0.7,11,14,-0.20000000000000007,-0.19999999999999996,0
Matchweek 11,11,2,1,2.4,8.6,3.6,-7.8,212.4,1.9,2,18,2.1999999999999997,1.6,1
Matchweek 11,11,3,0,-1,-3.4,-2,0,24.4,-0.8,7,14,0.20000000000000018,-0.60000000000000009,0.70000000000000007
Matchweek 11,11,1,2,-2.2,-8,-3.2,-0.8,-206.4,-1,20,2,-1.7999999999999998,-1.4,-2.1999999999999997
Matchweek 11,11,2,3,0.8,2,3.2,2.2,156.2,0.8,11,14,0,0.39999999999999991,1.2000000000000002
Matchweek 12,12,2,0,0,-2.2,-1.8,-3.2,-147,-0.4,11,15,0.4,0.40000000000000013,-0.6
Matchweek 12,12,2,0,1.4,7.2,5.6,3,271.6,0.8,2,14,1.6,0.60000000000000009,1
Matchweek 12,12,2,0,2.6,3.2,1.6,2.8,100,0.5,3,6,1.2,0.39999999999999991,0.39999999999999991
Matchweek 12,12,3,1,-0.4,-4.4,0,4.4,-21.4,-0.4,1,4,0.20000000000000018,1,0.20000000000000018
Matchweek 12,12,3,1,-0.6,-0.8,0.4,-2.6,-26.4,-0.2,7,11,-0.8,0,0.19999999999999996
Matchweek 12,12,2,1,0.4,-3.4,-1.4,1,-146.2,-0.5,11,7,0.19999999999999996,0,-0.79999999999999993
Matchweek 12,12,0,2,0,2.4,-0.2,0.4,52,-0.1,20,18,-0.39999999999999997,0.6,-0.2
Matchweek 12,12,1,2,-0.4,-2.6,-2,0,-19.2,-0.6,18,7,-1,-1.6,1.2
Matchweek 12,12,1,1,0,-1.2,-0.2,4,136,-0.3,15,7,-0.8,0.8,-0.79999999999999993
Matchweek 12,12,2,1,-0.8,-4.6,-2.4,5,61.6,-0.3,5,17,0.40000000000000013,-0.40000000000000013,1
Matchweek 13,13,2,2,0,3.4,0,2.4,173.2,0.1,6,19,0.8,1.6,-0.39999999999999991
Matchweek 13,13,2,0,0.4,2,1.6,-0.4,65.4,0.5,15,13,-0.8,0.40000000000000013,-0.6
Matchweek 13,13,1,2,-1,0.2,-0.2,-2.2,38.2,-0.4,10,5,-0.8,0.40000000000000013,-0.20000000000000018
Matchweek 13,13,0,2,-1.4,-1.4,-1.8,-1.4,-51,0.1,13,2,-0.59999999999999987,-0.60000000000000009,-1
Matchweek 13,13,1,2,-1.2,-9.4,-4.6,-2.2,-222.2,-1.2,15,1,-1.8,-1.8,-1.2000000000000002
Matchweek 13,13,0,2,1,2,2.6,1.6,-54,0.4,10,18,1.6,0.60000000000000009,0
Matchweek 13,13,2,1,-1,5,-1.6,-5.6,-5.4,0.3,3,3,-1.2,0.39999999999999991,-0.60000000000000009
Matchweek 13,13,3,3,-0.2,-4,-2.2,0.8,-53.2,-1,8,8,0.40000000000000013,-0.40000000000000013,0.39999999999999991
Matchweek 13,13,0,3,-0.4,-2.2,-2.8,7.8,-19.8,-0.4,20,6,0,-1.2000000000000002,-0.19999999999999996
Matchweek 13,13,2,3,0,-0.4,1.2,-3.6,-66.6,0.4,17,10,-0.2,-0.60000000000000009,1
Matchweek 14,14,0,2,1,1.8,2,-6,5.4,0.9,8,10,1,0.60000000000000009,-0.79999999999999993
Matchweek 14,14,0,1,1,5.6,1.8,3.2,193,0.7,4,13,2.1999999999999997,1,2
Matchweek 14,14,2,1,2,1.6,0.6,-0.8,120.6,0.8,2,13,1.2,1.2,1.2000000000000002
Matchweek 14,14,2,1,0.8,3.6,3.2,1,91,0.5,1,17,1.4000000000000001,1,2.4
Matchweek 14,14,1,2,0.8,0.8,0.8,3,75,0.7,10,10,0.40000000000000013,0,0.20000000000000007
Matchweek 14,14,2,2,-0.8,-8.8,-1,2.6,-301.6,-1.3,13,3,-1,-0.59999999999999987,-0.60000000000000009
Matchweek 14,14,2,2,-0.4,0.6,-1,-1.6,-88.6,-0.3,19,6,0.20000000000000007,-1.2000000000000002,-0.2
Matchweek 14,14,2,1,0.2,-0.6,1.2,-2.2,-12.8,0.2,18,20,-0.6,-0.39999999999999997,0.39999999999999991
Matchweek 14,14,3,2,0.8,-0.6,0,4.2,73.8,0.1,6,13,0,0,-0.60000000000000009
Matchweek 14,14,1,1,-0.4,3.6,0.4,-2.6,113.4,0.3,5,8,0,0.40000000000000013,0.40000000000000013
Matchweek 15,15,1,2,0.2,1.4,1.2,1.8,-7.2,0.2,8,11,-0.39999999999999991,-0.19999999999999996,0.2
Matchweek 15,15,1,4,-0.6,-10.2,-1,-2,-275.8,-0.3,11,3,-0.8,-0.59999999999999987,-0.79999999999999993
Matchweek 15,15,2,1,0.6,6.2,1.6,-3.2,319.4,0.9,4,14,0.60000000000000009,0.19999999999999996,1.8
Matchweek 15,15,1,0,0,-5.2,-1.6,4.6,-94.6,-0.5,6,15,0,-1,0.59999999999999987
Matchweek 15,15,2,0,2.6,8.2,5.4,2.8,197,1.6,2,20,2.2,2.4,1
Matchweek 15,15,5,2,1,1.2,1.4,-4.2,141.2,0.5,1,15,1.8,1.2,2
Matchweek 15,15,2,1,0.2,3.8,2.6,-2.4,22.6,0.7,6,8,0,0,0.20000000000000007
Matchweek 15,15,0,2,0.2,-0.8,-0.6,1,81.6,0.4,11,8,-0.20000000000000018,-0.40000000000000013,0.6
Matchweek 15,15,2,1,0.2,-3.4,-0.6,0.4,-22,0.4,18,19,0,0,0.59999999999999987
Matchweek 15,15,2,0,0.2,6.8,1.2,-0.2,16,0.4,5,15,1,0.20000000000000018,0.60000000000000009
Matchweek 16,16,1,4,-0.6,-5.2,-2,2,-152.2,-1,15,2,-1.8,-1.4,-0.60000000000000009
Matchweek 16,16,0,3,-1.8,-2.2,-1.2,-2.4,-20.6,-0.4,16,1,-2.4,-1.4,-1.8
Matchweek 16,16,2,2,-0.4,-3.8,-1.8,0.8,21.6,-0.2,12,5,-1.0000000000000002,0.39999999999999991,-2
Matchweek 16,16,3,1,0,-2.8,-1.4,7.6,-286.6,-0.8,12,4,-0.60000000000000009,-0.60000000000000009,-1.7999999999999998
Matchweek 16,16,1,2,0.4,5.2,-0.8,-3.8,160,0.3,3,6,0.60000000000000009,0.79999999999999982,0.59999999999999987
Matchweek 16,16,2,1,0.2,0.4,1.8,-3.2,-156.8,-0.6,7,18,0.60000000000000009,1.2000000000000002,-0.4
Matchweek 16,16,1,2,-0.6,0,-1.4,-4.2,-1.6,-0.6,19,10,-0.39999999999999991,-0.59999999999999987,-0.59999999999999987
Matchweek 16,16,5,0,0.6,2,0.4,7.6,185,0.1,7,14,0.19999999999999996,0.40000000000000013,-0.4
Matchweek 16,16,0,0,0,0.4,-0.6,0.6,-1.4,0.2,20,10,-0.6,0,-0.59999999999999987
Matchweek 16,16,1,3,-0.2,-2.4,0.2,0,-36.2,-0.5,16,7,0,-1,0.4
Matchweek 17,17,0,3,-0.4,-8,-2,5.2,-140.2,-0.4,9,3,-0.39999999999999991,-1.2,-1.4
Matchweek 17,17,1,0,-0.4,-1.2,-1,-3.4,31.8,0.7,12,9,-0.8,-0.60000000000000009,-0.19999999999999996
