home_Gls,Away_Gls,goals_difference,shots_difference,SoT_difference,tackles_difference,touches_difference,xG_difference,home_side_rank,away_side_rank,rolling_points_difference,rolling_points_home_difference,rolling_points_away_difference
1,1,1.2,-0.8,-0.6,-3.6,-46.4,0.5,12,18,0.79999999999999993,0.7,0
0,1,-0.6,-3.8,-2.2,1.4,28.2,-0.4,14,6,-1.4000000000000001,-1.4,0.7
1,5,-0.6,0.2,-1.4,0.6,-82.2,-0.2,15,3,-2,-0.7,-1.7
1,2,0.6,-1.2,1.6,-0.4,70.4,0.2,9,11,1,0.7,0.60000000000000009
0,0,-1,-9,-2.6,5.4,-177.6,-1,1,1,0,0,0.70000000000000018
3,2,0.6,10.2,3.8,-10.8,242.6,1.1,7,18,1.2000000000000002,1,1.3
0,3,-0.8,-4.2,-1.2,6.2,-334.4,-0.3,15,3,-1,-2.3,-0.7
1,0,0.8,-0.2,1.2,3.8,247.2,0.5,3,20,1.6,1.2,1.9999999999999998
0,4,0,1.4,1.8,7,-23.8,0,9,7,0.39999999999999991,0.59999999999999987,1
3,0,0.8,-1.2,0.4,-5,51.6,-0.3,3,11,1.6,0.29999999999999982,0.19999999999999996
0,0,0.8,-3.2,-0.4,-8.4,-0.2,0.3,7,15,0.59999999999999987,1.3,0.19999999999999996
4,2,0,-2.2,0.2,-2.6,-226.8,-0.1,16,16,-0.4,-1,0
2,2,0.2,3.6,-1.2,0.6,108.4,0.3,5,7,0,1.2,-0.10000000000000009
2,0,1,2,1.4,-0.2,-65,0.2,7,14,0.59999999999999987,1.5,-0.8
0,1,-0.8,0.4,-1.2,1.2,-89.8,-0.9,19,1,-1.8000000000000003,-2.7,-2.2
5,0,1,13.8,4.6,-1,386.6,1.8,1,13,1.2000000000000002,2,1.2999999999999998
0,1,-0.4,-1.4,0.4,6.2,13.6,-0.6,19,12,-0.8,-1,0.39999999999999997
0,1,-0.6,-4.4,-2.2,3,-177,-0.6,16,3,-0.8,-1,-1.4
0,2,0.4,3.4,1.4,0,102,-0.1,7,6,1.8,-0.29999999999999982,0
1,0,0,-8,-2.2,-3.4,-167.4,-0.6,11,9,-0.60000000000000009,-0.19999999999999996,-1.5
0,4,-0.6,-10.6,-3.2,3.4,-338,-1.4,13,3,-0.40000000000000013,-1.5,-1
2,2,-2.2,-1.6,-1.6,3.4,-93.4,-0.5,13,3,-2.2,-1.9999999999999998,-0.79999999999999982
0,3,-0.8,2,-1,6.4,32.8,-0.8,17,7,-1.4000000000000001,-1,-1.2
1,1,1,3.6,2.6,-3.2,87.8,0.6,11,16,0.39999999999999991,1,1
4,1,0,0.4,0.6,2.8,295,0.3,1,17,1.6,2.2,2.2
